Number	SOMAmer SeqID	Analyte	UniProt ID
63	3796-79_2	Angiopoietin-related protein 4	Q9BY76
64	3710-49_2	Angiostatin	P00747
65	2805-6_2	Angiotensin-converting enzyme 2	Q9BYF1
66	3484-60_2	Angiotensinogen	P01019
67	4960-72_1	Annexin A1	P04083
68	4961-17_1	Annexin A2	P07355
69	5335-73_3	Annexin A6	P08133
70	4959-2_1	Anterior gradient protein 2 homolog	O95994
71	4413-3_2	Antileukoproteinase	P03973
72	3310-62_1	Lou affinity immunoglobulin gamina cRegion receptor Ilb	P31994
73	3344-60_4	Antithrombin-III	P01008
74	2750-3_2	Apolipoprotein A-I	P02647
75	2797-56_2	Apolipoprotein B	P04114
76	4712-28_2	Apolipoprotein D	P05090
77	2418-55_9	Apolipoprotein E	P02649
78	5312-49_3	Apolipoprotein E (isoform E2)	P02649
79	2937-10_2	Apolipoprotein E (isoform E3)	P02649
80	2938-55_2	Apolipoprotein E (isoform E4)	P02649
81	3412-7_1	Apoptosis regulator Bcl-2	P10415
82	2850-3_2	Arginase-1	P05089
83	3538-26_1	Aromatic-L-amino-acid decarboxylase	P20711
84	2939-10_2	Artemin	Q5T4W7
85	3583-54_1	Arylsulfatase A	P15289
86	3172-28_2	Arylsulfatase B	P15848
87	3876-15_2	Asialoglycoprotein receptor 1	P07306
88	4912-17_1	Aspartate aminotransferase, cytoplasmic	P17174
89	4965-27_1	ATP synthase subunit beta, mitochondrial	P06576
90	3104-8_2	ATP-dependent RNA helicase DDX19B	Q9UMR2
91	5443-62_2	Atrial natriuretic factor	P01160
92	3875-62_1	AT-rich interactive domain-containing protein 3A	Q99856
93	3091-70_2	Aurora kinase A	O14965
94	3346-72_2	Aurora kinase B	Q96GD4
95	2751-16_2	Azurocidin	P20160
96	4126-22_1	Bactericidal permeability-increasing protein	P17213
97	4973-18_1	Baculoviral IAP repeat-containing protein 3	Q13489
98	3472-40_2	Baculoviral IAP repeat-containing protein 5	O15392
99	4561-65_2	Baculoviral IAP repeat-containing protein 7 Isoform beta	Q96CA5
100	2816-50_2	Basal Cell Adhesion Molecule	P50895
101	3585-54_4	Basigin	P35613
102	2891-1_3	B-cell receptor CD22	P20273
103	4423-77_2	Bcl-2-like protein 1	Q07817
104	3413-50_2	Bcl-2-related protein A1	Q16548
105	4866-59_2	BDNF/NT-3 growth factors receptor	Q16620
106	3485-28_2	Beta-2-microglobulin	P61769
107	3347-9_2	beta-adrenergic receptor kinase 1	P25098
108	3604-6_4	Beta-Ala-His dipeptidase	Q96KN2
109	2558-51_3	beta-Endorphin	P01189
110	4368-8_2	beta-nerve growth factor	P01138
111	3284-75_1	Biglycan	P21810
112	3654-27_4	BMP-binding endothelial regulator protein	Q8N8U9
113	3348-49_2	Bone morphogenetic protein 1	P13497
114	3587-53_1	Bone morphogenetic protein 10	O95393
115	3736-60_3	Bone morphogenetic protein 6	P22004
116	2972-57_2	Bone morphogenetic protein 7	P18075
117	4859-6_1	Bone morphogenetic protein receptor type-1A	P36894
118	4862-63_1	Bone morphogenetic protein receptor type-2	Q13873
119	3415-61_2	Bone sialoprotein 2	P21815
120	3723-1_2	Brain natriuretic peptide 32	P16860
121	2421-7_3	Brain-derived neurotrophic factor	P23560
122	4534-10_2	Brain-specific serine protease 4	Q9GZN4
123	5262-57_3	Breast cancer anti-estrogen resistance protein 3	O75815
124	3461-58_1	Brevican core protein	Q96GW7
125	4328-2_2	Brother of CDO	Q9BWV1
126	4900-8_1	C3a anaphylatoxin	P01024
127	2755-8_2	C3a anaphylatoxin des Arginine	P01024
128	2851-63_3	C5a anaphylatoxin	P01031
129	2501-51_3	Cadherin-1	P12830
130	3656-9_1	Cadherin-12	P55289
131	5410-53_3	Cadherin-15	P55291
132	3797-1_1	Cadherin-2	P19022
133	2643-57_2	Cadherin-3	P22223
134	2819-23_2	Cadherin-5	P33151
135	3591-51_3	Cadherin-6	P55285
136	4903-72_1	Calcineurin	Q08209,  P63098
137	3657-74_3	Calcineurin subunit B type 1	P63098
138	3877-67_2	Calcium/calmodulin-dependent protein kinase kinase 1	Q8N5S9
139	3592-4_3	Calcium/calmodulin-dependent protein kinase type 1	Q14012
140	3418-12_2	Calcium/calmodulin-dependent protein kinase type 1D	Q8IU85
141	3350-53_2	Calcium/calmodulin-dependent protein kinase type II subunit alpha	Q9UQM7
142	3351-1_1	Calcium/calmodulin-dependent protein kinase type II subunit beta	Q13554
143	3419-49_2	Calcium/calmodulin-dependent protein kinase type II subunit delta	Q13557
144	2449-1_4	Calcium-dependent phospholipase A2	P39877
145	2668-70_2	Calpain I	P07384, P04632
146	3026-5_2	Calpastatin	P20810
147	5264-65_3	Calreticulin	P27797
148	3466-8_2	cAMP-dependent protein kinase catalytic subunit alpha	P17612
149	4963-19_1	cAMP-regulated phosphoprotein 19	P56211
150	5255-22_3	cAMP-specific 3',5'-cyclic phosphodiesterase 4D	Q08499
151	4469-78_2	Carbohydrate sulfotransferase 15	Q7LFX5
152	4428-1_2	Carbohydrate sulfotransferase 2	Q9Y4C5
153	4429-51_2	Carbohydrate sulfotransferase 6	Q9GZX3
154	4969-2_1	Carbonic anhydrase 1	P00915
155	3420-21_2	Carbonic anhydrase 13	Q8N1Q1
156	4970-55_1	Carbonic anhydrase 2	P00918
157	3799-11_2	Carbonic anhydrase 3	P07451
158	3177-49_2	Carbonic anhydrase 4	P22748
159	3352-80_3	Carbonic anhydrase 6	P23280
160	3356-50_1	Carbonic anhydrase 7	P43166
161	3798-71_1	Carbonic anhydrase 9	Q16790
162	3289-19_2	Carbonic anhydrase-related protein 10	Q9NS85
163	3518-54_2	Carboxypeptidase B2	Q96IY4
164	5343-74_3	Carboxypeptidase E	P16870
165	2889-37_2	Cardiotrophin-1	Q16619
166	5225-50_3	Casein kinase II 2-alpha:2-beta heterotetramer	P68400, P67870
167	5226-36_3	Casein kinase II 2-alpha':2-beta heterotetramer	P19784, P67870
168	3427-63_2	Casein kinase II subunit alpha	P68400
169	5340-24_3	Caspase-10	Q92851
170	4904-7_1	Caspase-2	P42575
171	3593-72_3	Caspase-3	P42574
172	3488-64_2	Catalase	P04040
173	3061-61_2	Cathepsin B	P07858
174	3180-46_2	Cathepsin D	P07339
175	3594-6_5	Cathepsin E	P14091
176	2431-17_3	Cathepsin G	P08311
177	3737-6_3	Cathepsin H	P09668
178	3364-76_2	Cathepsin L2	O60911
179	3181-50_2	Cathepsin S	P25774
180	4971-1_1	Cathepsin Z	Q9UBR2
181	3676-15_3	Cation-independent mannose-6-phosphate receptor	P11717
182	2770-51_2	C-C motif chemokine 1	P22362
183	4144-13_1	C-C motif chemokine 13	Q99616
184	2900-53_3	C-C motif chemokine 14	Q16627
185	3509-1_1	C-C motif chemokine 15	Q16663
186	4913-78_1	C-C motif chemokine 16	O15467
187	3519-3_2	C-C motif chemokine 17	Q92583
188	3044-3_2	C-C motif chemokine 18	P55774
189	4922-13_1	C-C motif chemokine 19	Q99731
190	2578-67_2	C-C motif chemokine 2	P13500
191	2468-62_3	C-C motif chemokine 20	P78556
192	2516-57_3	C-C motif chemokine 21	O00585
193	3508-78_3	C-C motif chemokine 22	O00626
194	2913-1_2	C-C motif chemokine 23	P55773
195	4128-27_2	C-C motif chemokine 24	O00175
196	2705-5_2	C-C motif chemokine 25	O15444
197	2192-63_10	C-C motif chemokine 27	Q9Y4X3
198	2890-59_2	C-C motif chemokine 28	Q9NRJ3
199	3040-59_1	C-C motif chemokine 3	P10147
200	2783-18_2	C-C motif chemokine 3-like 1	P16619
201	2781-63_2	C-C motif chemokine 4-like	Q8NHW4
202	2523-31_3	C-C motif chemokine 5	P13501
203	4886-3_1	C-C motif chemokine 7	P80098
204	2785-15_2	C-C motif chemokine 8	P80075
205	3290-50_2	CD109 antigen	Q6YHK3
206	5451-1_3	CD166 antigen	Q13740
207	3029-52_2	CD209 antigen	Q9NNX6
208	5062-60_3	CD226 antigen	Q15762
209	5412-53_3	CD27 antigen	P26842
210	3534-14_2	CD40 ligand	P29965
211	3292-75_1	CD48 antigen	P09326
212	3293-2_4	CD5 antigen-like	O43866
213	5317-3_3	CD70 antigen	P32970
214	2822-56_2	CD97 antigen	P48960
215	3326-58_2	Cell adhesion molecule 1	Q9BY67
216	3630-27_4	Cell adhesion molecule 3	Q8N126
217	4541-49_2	Cell adhesion molecule-related/down-regulated by oncogenes	Q4KMG0
218	5103-30_3	Cell surface glycoprotein CD200 receptor 1	Q8TD46
219	4962-52_1	Cerebral dopamine neurotrophic factor	Q49AH0
220	5246-64_3	cGMP-dependent 3',5'-cyclic phosphodiesterase	O00408
221	5254-69_3	cGMP-inhibited 3',5'-cyclic phosphodiesterase A	Q14432
222	5256-86_3	cGMP-specific 3',5'-cyclic phosphodiesterase	O76074
223	3600-2_3	Chitotriosidase-1	Q13231
224	5013-2_1	Chloride intracellular channel protein 1	O00299
225	3362-61_2	Chordin-like protein 1	Q9BU40
226	4540-11_2	Chromobox protein homolog 5	P45973
227	3423-59_2	Chymase	P23946
228	3489-9_2	Ciliary Neurotrophic Factor	P26441
229	2711-6_2	Ciliary neurotrophic factor receptor subunit alpha	P26992
230	3028-36_2	Ck-beta-8-1	P55773
231	4542-24_2	Clusterin	P10909
232	5066-134_3	CMRF35-like molecule 6	Q08708
233	4905-63_1	Coactosin-like protein	Q14019
234	4876-32_1	Coagulation factor IX	P00740
235	5307-12_3	Coagulation Factor IXab	P00740
236	4906-35_1	Coagulation Factor V	P12259
237	3184-25_2	Coagulation Factor VII	P08709
238	4878-3_1	Coagulation Factor X	P00742
239	3077-66_2	Coagulation Factor Xa	P00742
240	2190-55_1	Coagulation Factor XI	P03951
241	4203-50_2	Cofilin-1	P23528
242	3234-23_2	Coiled-coil domain-containing protein 80	Q76M96
243	4807-13_3	Collagen alpha-1(VIII) chain	P27658
244	4543-65_2	Collagen alpha-1(XXIII) chain	Q86Y22
245	4925-54_2	Collagenase 3	P45452
246	4430-44_3	Collectin-11	Q9BWP8
247	3665-64_3	Collectin-12	Q5KU26
248	2823-7_1	COMM domain-containing protein 7	Q86VX2
249	2753-2_2	Complement C1q subcomponent	P02745,  P02746,  P02747
250	3285-23_2	Complement C1r subcomponent	P00736
251	3590-8_3	Complement C1s subcomponent	P09871
252	3186-2_2	Complement C2	P06681
253	2754-50_2	Complement C3	P01024
254	4480-59_2	Complement C3b	P01024
255	2683-1_2	Complement C3b, inactivated	P01024
256	4875-73_1	Complement C3d fragment	P01024
257	4481-34_2	Complement C4	P0C0L4, P0C0L5
258	2182-54_1	Complement C4b	P0C0L4, P0C0L5
259	2381-52_4	Complement C5	P01031
260	4482-66_2	Complement C5b-C6 complex	P01031, P13671
261	4967-1_1	Complement component 1 Q subcomponent-binding protein, mitochondrial	Q07021
262	4127-75_1	Complement component C6	P13671
263	2888-49_2	Complement component C7	P10643
264	2429-27_4	Complement component C8	P07357, P07358, P07360
265	3060-43_2	Complement component C9	P02748
266	5069-9_3	Complement decay-accelerating factor	P08174
267	4129-72_1	Complement factor B	P00751
268	2946-52_2	Complement factor D	P00746
269	4159-130_1	Complement factor H	P08603
270	3666-17_4	Complement factor H-related protein 5	Q9BXR6
271	2567-5_6	Complement factor I	P05156
272	2975-19_2	Connective tissue growth factor	P29279
273	4544-4_3	Connective tissue-activating peptide III	P02775
274	2974-61_2	Contactin-1	Q12860
275	3296-92_2	Contactin-2	Q02246
276	3298-52_2	Contactin-4	Q8IWV2
277	3299-29_2	Contactin-5	O94779
278	5346-24_3	Copine-1	Q99829
279	4785-30_3	Corticosteroid-binding globulin	P08185
280	4890-10_1	Corticotropin	P01189
281	4337-49_2	C-reactive protein	P02741
282	3800-71_2	Creatine kinase B-type	P12277
283	2670-67_4	Creatine kinase M-type	P06732
284	3714-49_2	Creatine kinase M-type:Creatine kinase B-type heterodimer	P12277, P06732
285	3294-55_2	Cryptic protein	P0CG37
286	4332-6_2	C-type lectin domain family 1 member B	Q9P126
287	3361-26_2	C-type lectin domain family 4 member K	Q9UJ71
288	3030-3_2	C-type lectin domain family 4 member M	Q9H2X3
289	3603-60_4	C-type lectin domain family 7 member A	Q9BXN2
290	3041-55_2	C-type mannose receptor 2	Q9UBG0
291	4141-79_1	C-X-C motif chemokine 10	P02778
292	3038-9_2	C-X-C motif chemokine 11	O14625
293	3487-32_2	C-X-C motif chemokine 13	O43927
294	2436-49_4	C-X-C motif chemokine 16	Q9H2A7
295	2979-8_2	C-X-C motif chemokine 5	P42830
296	3495-15_2	C-X-C motif chemokine 6	P80162
297	3422-4_2	Cyclin-dependent kinase 1:G2/mitotic-specific cyclin-B1 complex	P06493, P14635
298	3357-67_2	Cyclin-dependent kinase 2:Cyclin-A2 complex	P24941, P20248
299	3358-51_2	Cyclin-dependent kinase 5:Cyclin-dependent kinase 5 activator 1 complex	Q00535, Q15078
300	3359-11_2	Cyclin-dependent kinase 8:Cyclin-C complex	P49336, P24863
301	3719-2_2	Cyclin-dependent kinase inhibitor 1B	P46527
302	2609-59_2	Cystatin-C	P01034
303	3803-10_2	Cystatin-D	P28325
304	3302-58_1	Cystatin-F	O76096
305	3303-23_2	Cystatin-M	Q15828
306	3802-50_1	Cystatin-S	P01036
307	4324-33_2	Cystatin-SA	P09228
308	5459-33_3	Cystatin-SN	P01037
309	3187-52_2	Cysteine-rich secretory protein 3	P54108
310	2942-50_2	Cytochrome c	P99999
311	2943-5_2	Cytochrome P450 3A4	P08684
312	2634-2_2	Cytokine receptor common subunit gamma	P31785
313	2607-54_2	Cytokine receptor-like factor 1:Cardiotrophin-like cytokine factor 1 Complex	O75462, Q9UBD9
314	2746-56_1	Cytokine receptor-like factor 2	Q9HC73
315	5014-49_1	Cytoplasmic protein NCK1	P16333
316	3414-40_2	Cytoplasmic tyrosine-protein kinase BMX	P51813
317	5345-51_3	Cytoskeleton-associated protein 2	Q8WWK9
318	3192-3_2	Cytosolic non-specific dipeptidase	Q96KP4
319	5068-54_3	Cytotoxic and regulatory T-cell molecule	O95727
320	3022-4_2	Cytotoxic T-lymphocyte protein 4	P16410
321	4314-12_2	dCTP pyrophosphatase 1	Q9H773
322	4907-56_1	D-dimer	P02671, P02675, P02679
323	4355-13_1	Death-associated protein kinase 2	Q9UIK4
324	2666-53_2	Decorin	P07585
325	5349-69_3	Delta-like protein 1	O00548
326	3305-6_1	Delta-like protein 4	Q9NR61
327	3804-66_2	Dentin matrix acidic phosphoprotein 1	Q13316
328	4979-34_2	Dermatopontin	Q07507
329	4389-2_1	Desert hedgehog protein N-product	O43323
330	4981-6_1	Desmocollin-3	Q14574
331	2976-58_2	Desmoglein-1	Q02413
332	5071-3_3	Desmoglein-2	Q14126
333	3122-6_2	Diablo homolog, mitochondrial	Q9NR28
334	3644-5_4	Dickkopf-like protein 1	Q9UK85
335	3535-84_1	Dickkopf-related protein 1	O94907
336	3607-71_1	Dickkopf-related protein 3	Q9UBP4
337	3365-7_2	Dickkopf-related protein 4	Q9UBT3
338	3178-5_2	Dipeptidyl peptidase 1	P53634
339	3608-12_1	Dipeptidyl peptidase 2	Q9UHL4
340	3606-2_1	Discoidin domain-containing receptor 2	Q16832
341	4420-7_2	Disintegrin and metalloproteinase domain-containing protein 12	O43184
342	3795-6_2	Disintegrin and metalloproteinase domain-containing protein 9	Q13443
343	2871-73_2	DNA repair protein RAD51 homolog 1	Q06609
344	2876-74_2	DNA topoisomerase 1	P11387
345	3852-19_2	DnaJ homolog subfamily B member 1	P25685
346	4978-54_2	Drebrin-like protein	Q9UJU6
347	5252-33_3	Dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11A	Q9HCR9
348	2864-2_3	Dual specificity mitogen-activated protein kinase kinase 1	Q02750
349	3628-3_4	Dual specificity mitogen-activated protein kinase kinase 2	P36507
350	5242-37_3	Dual specificity mitogen-activated protein kinase kinase 4	P45985
351	3480-7_1	Dual specificity protein phosphatase 3	P51452
352	4359-87_1	Dual specificity tyrosine-phosphorylation-regulated kinase 3	O43781
353	4210-19_2	Dynactin subunit 2	Q13561
354	3881-49_2	Dynein light chain 1, cytoplasmic	P63167
355	3845-51_2	Dynein light chain roadblock-type 1	Q9NP97
356	4245-80_2	E3 ubiquitin-protein ligase Mdm2	Q00987
357	2826-53_2	Ectodysplasin-A, secreted form	Q92838
358	3182-38_2	Ectonucleoside triphosphate diphosphohydrolase 1	P49961
359	4436-1_2	Ectonucleoside triphosphate diphosphohydrolase 3	O75355
360	4437-56_3	Ectonucleoside triphosphate diphosphohydrolase 5	O75356
361	4435-66_2	Ectonucleotide pyrophosphatase/phosphodiesterase family member 7	Q6UWV6
362	4546-27_3	Adhesion G protein coupled receptor E2	Q9UHX3
363	4982-54_1	Elafin	P19957
364	3882-10_1	Elongation factor 1-beta	P24534
365	4908-6_1	Endoglin	P17813
366	4964-67_1	Endoplasmic reticulum aminopeptidase 1	Q9NZ08
367	4983-6_1	Endoplasmic reticulum resident protein 29	P30040
368	2201-17_6	Endostatin	P39060
369	2981-9_3	Endothelial cell-selective adhesion molecule	Q96AP7
370	3805-16_2	Endothelial cell-specific molecule 1	Q9NQ30
371	2714-78_2	Endothelial monocyte-activating polypeptide 2	Q12904
372	3611-70_4	Endothelin-converting enzyme 1	P42892
373	3189-61_2	Enteropeptidase	P98073
374	5301-7_3	Eotaxin	P51671
375	3431-54_2	Ephrin type-A receptor 1	P21709
376	5076-53_2	Ephrin type-A receptor 10	Q5JZY3
377	4834-61_2	Ephrin type-A receptor 2	P29317
378	3432-21_2	Ephrin type-A receptor 3	P29320
379	3806-55_1	Ephrin type-A receptor 5	P54756
380	5077-28_3	Ephrin type-B receptor 2	P29323
381	3612-6_4	Ephrin type-B receptor 4	P54760
382	5078-82_3	Ephrin type-B receptor 6	O15197
383	2614-28_2	Ephrin-A4	P52798
384	2615-60_2	Ephrin-A5	P52803
385	2514-65_3	Ephrin-B3	Q15768
386	2677-1_1	Epidermal growth factor receptor	P00533
387	4212-5_3	Epidermal growth factor receptor substrate 15-like 1	Q9UBC2
388	4956-2_1	Epiregulin	O14944
389	4122-12_2	Epithelial discoidin domain-containing receptor 1	Q08345
390	3492-58_1	Erythropoietin	P01588
391	2715-25_2	Erythropoietin receptor	P19235
392	3470-1_2	E-Selectin	P16581
393	4708-3_2	Estradiol 17-beta-dehydrogenase 1	P14061
394	2945-25_1	Estrogen receptor	P03372
395	4997-19_1	Eukaryotic initiation factor 4A-III	P38919
396	4230-1_2	Eukaryotic translation initiation factor 4 gamma 2	P78344
397	4184-43_3	Eukaryotic translation initiation factor 4E-binding protein 2	Q13542
398	2612-5_2	Eukaryotic translation initiation factor 5	P55010
399	3884-5_1	Eukaryotic translation initiation factor 5A-1	P63241
400	3366-51_2	Extracellular matrix protein 1	Q16610
401	5032-64_1	FACT complex subunit SSRP1	Q08945
402	4985-11_1	Fatty acid-binding protein, epidermal	Q01469
403	4696-2_2	Fatty acid-binding protein, heart	P05413
404	4440-15_2	Fc receptor-like protein 3	Q96P31
405	3031-66_1	Ferritin	P02794, P02792
406	3367-8_3	Fetuin-B	Q9UGM5
407	2796-62_2	Fibrinogen	P02671, P02675, P02679
408	4989-7_1	Fibrinogen gamma chain	P02679
409	3486-58_2	Fibroblast growth factor 1	P05230
410	2441-2_4	Fibroblast growth factor 10	O15520
411	4392-54_2	Fibroblast growth factor 12	P61328
412	4393-3_1	Fibroblast growth factor 16	O43320
413	3494-71_3	Fibroblast growth factor 17	O60258
414	2761-49_2	Fibroblast growth factor 18	O76093
415	2762-30_2	Fibroblast growth factor 19	O95750
416	3025-50_1	Fibroblast growth factor 2	P09038
417	2763-66_2	Fibroblast growth factor 20	Q9NP95
418	3807-1_2	Fibroblast growth factor 23	Q9GZV9
419	4123-60_2	Fibroblast growth factor 4	P08620
420	3065-65_1	Fibroblast growth factor 5	P12034
421	4130-71_1	Fibroblast growth factor 6	P10767
422	4487-1_1	Fibroblast growth factor 7	P21781
423	4394-71_2	Fibroblast growth factor 8 isoform A	P55075
424	2443-10_4	Fibroblast growth factor 8 isoform B	P55075
425	2764-20_2	Fibroblast growth factor 9	P31371
426	2424-69_4	Fibroblast growth factor receptor 1	P11362
427	3808-76_2	Fibroblast growth factor receptor 2	P21802
428	3809-1_2	Fibroblast growth factor receptor 3	P22607
429	4988-49_2	Fibroblast growth factor receptor 4	P22455
430	4131-72_2	Fibronectin	P02751
431	3434-34_1	Fibronectin Fragment 3	P02751
432	3435-53_2	Fibronectin Fragment 4	P02751
433	3613-62_5	Ficolin-1	O00602
434	3313-21_2	Ficolin-2	Q15485
435	3811-1_2	Ficolin-3	O75636
436	3053-49_2	Fms-related tyrosine kinase 3 ligand	P49771
437	4986-59_1	Focal adhesion kinase 1	Q05397
438	3032-11_2	Follicle stimulating hormone	P01215,  P01225
439	4132-27_2	Follistatin	P19883
440	3438-10_2	Follistatin-related protein 3	O95633
441	2827-23_2	Fractalkine	P78423
442	5347-59_3	G2/mitotic-specific cyclin-B1	P14635
443	4548-4_2	Galactoside 3(4)-L-fucosyltransferase	P21217
444	3033-57_1	Galectin-2	P05162
445	3066-12_1	Galectin-3	P17931
446	5000-52_1	Galectin-3-binding protein	Q08380
447	2982-82_2	Galectin-4	P56470
448	4909-68_1	Galectin-8	O00214
449	3314-74_2	GDNF family receptor alpha-1	P56159
450	2515-14_3	GDNF family receptor alpha-2	O00451
451	2505-49_3	GDNF family receptor alpha-3	O60609
452	4775-34_3	Gelsolin	P06396
453	3217-74_2	Glia-derived nexin	P07093
454	3034-1_2	Glial fibrillary acidic protein	P14136
455	4891-50_1	Glucagon	P01275
456	2857-70_2	Glucocorticoid receptor	P04150
457	5223-59_3	Glucokinase regulatory protein	Q14397
458	4272-46_2	Glucose-6-phosphate isomerase	P06744
459	3218-8_2	Glutamate carboxypeptidase 2	Q04609
460	4993-16_1	Glutathione S-transferase A3	Q16772
461	4911-49_2	Glutathione S-transferase P	P09211
462	3848-14_2	Glyceraldehyde-3-phosphate dehydrogenase	P04406
463	3441-64_2	Glycogen synthase kinase-3 alpha/beta	P49840, P49841
464	5196-7_3	Glycylpeptide N-tetradecanoyltransferase 1	P30419
465	3315-15_1	Glypican-2	Q8N158
466	4842-62_2	Glypican-3	P51654
467	4991-12_1	Glypican-5	P78333
468	4792-51_2	gp41 C34 peptide, HIV	Q70626
469	4992-49_1	Granulins	P28799
470	4840-73_1	Granulocyte colony-stimulating factor	P09919
471	2719-3_4	Granulocyte colony-stimulating factor receptor	Q99062
472	4697-59_2	Granulocyte-macrophage colony-stimulating factor	P04141
473	3195-50_2	Granulysin	P22749
474	3440-7_2	Granzyme A	P12544
475	4133-54_2	Granzyme B	P10144
476	3373-5_2	Granzyme H	P20718
477	5265-12_3	GRB2-related adapter protein 2	O75791
478	4449-67_3	Gremlin-1	O60565
479	2986-49_2	Gro-beta/gamma	P19876, P19875
480	2949-6_2	Group 10 secretory phospholipase A2	O15496
481	2447-7_4	Group IIE secretory phospholipase A2	Q9NZK7
482	3190-43_1	Growth arrest-specific protein 1	P54826
483	2948-58_2	Growth hormone receptor	P10912
484	2765-4_3	Growth/differentiation factor 11/8	O95390, O14793
485	4880-21_1	Growth/differentiation factor 2	Q9UK05
486	2752-62_2	Growth/differentiation factor 5	P43026
487	3067-67_1	Growth/differentiation factor 9	O60383
488	2985-35_1	Growth-regulated alpha protein	P09341
489	5193-51_3	GTPase KRas	P01116
490	4282-3_2	GTP-binding nuclear protein Ran	P62826
491	3054-3_2	Haptoglobin	P00738
492	4124-24_2	Heat shock 70 kDa protein 1A	P08107
493	4228-37_2	Heat shock cognate 71 kDa protein	P11142
494	2625-53_4	Heat shock protein HSP 90-alpha/beta	P07900, P08238
495	2622-18_1	Heme oxygenase 2	P30519
496	4915-64_2	Hemoglobin	P69905, P68871
497	3332-57_1	Hemojuvelin	Q6ZVN8
