Seq	SOMAS_ID_round1	SOMAS_ID_round2	SeqId	SomaId	TargetFullName	Target	UniProt	EntrezGeneID	EntrezGeneSymbol	Organism	Type	ensembl_gene_id	mmusculus_homolog_ensembl_gene	chromosome_name	start_position	end_position	external_gene_name	Notes	chromosome_number	updated	best_position	Originalplex
8228-10	C11orf83.8228.10.3	UQCC3.8228.10.3	8228-10_3	SL012588	Ubiquinol-cytochrome-c reductase complex assembly factor 3	CK083	Q6UW78	790955	UQCC3	Human	Protein	ENSG00000204922	ENSMUSG00000071654	11	62437745	62441159	C11orf83	Build 37	11	0	1	0
8263-64	C18orf56.8263.64.3	TYMSOS.8263.64.3	8263-64_3	SL018450	TYMS opposite strand protein	CR056	Q8TAI1	494514	TYMSOS	Human	Protein	ENSG00000176912	NA	18	641320	658340	C18orf56	Build 37	18	0	1	0
8389-8	LRRC74.8389.8.3	LRRC74A.8389.8.3	8389-8_3	SL018481	Leucine-rich repeat-containing protein 74A	CN16B	Q0VAA2	145497	LRRC74A	Human	Protein	ENSG00000100565	ENSMUSG00000059114	14	77292715	77336645	C14orf166B	Build 37	14	0	1	0
8756-41	KCNE1L.8756.41.3	KCNE5.8756.41.3	8756-41_3	SL008542	Potassium voltage-gated channel subfamily E regulatory beta subunit 5	KCE1L	Q9UJ90	23630	KCNE5	Human	Protein	ENSG00000176076	ENSMUSG00000090122	X	108866929	108868393	KCNE1L	Build 37	X	0	1	0
8908-14	KCNE1L.8908.14.3	KCNE5.8908.14.3	8908-14_3	SL008542	Potassium voltage-gated channel subfamily E regulatory beta subunit 5	KCE1L	Q9UJ90	23630	KCNE5	Human	Protein	ENSG00000176076	ENSMUSG00000090122	X	108866929	108868393	KCNE1L	Build 37	X	0	1	0
13103-125	CSH1.CSH2.13103.125.3	CSH1.CSH2.13103.125.3	13103-125_3	SL009328	Chorionic somatomammotropin hormone	CSH	P0DML2	1442 1443	CSH1 CSH2	Human	Protein	ENSG00000136488	ENSMUSG00000020713	17	61972269	61974021	CSH1	Build 38;Mapped to 37	17	0	1	0
13103-125	CSH1.CSH2.13103.125.3	CSH1.CSH2.13103.125.3	13103-125_3	SL009328	Chorionic somatomammotropin hormone	CSH	P0DML3	1442 1443	CSH1 CSH2	Human	Protein	ENSG00000213218	ENSMUSG00000020713	17	61949372	61959223	CSH2	Build 38;Mapped to 37	17	0	1	0
13725-3	FGF16.13725.3.3	FGF16.13725.3.3	13725-3_3	SL004334	Fibroblast growth factor 16	FGF-16	O43320	8823	FGF16	Human	Protein	ENSG00000196468	ENSMUSG00000031230	X	77841185	77851058	FGF16	Build 38;did not map;Mapped start and end individually	X	0	1	0
13944-3	SULT1A3.13944.3.3	SULT1A3.13944.3.3	13944-3_3	SL000578	Sulfotransferase 1A3	SULT 1A3	P0DMM9	445329	SULT1A3	Human	Protein	ENSG00000261052	ENSMUSG00000030711	16	30210549	30215631	SULT1A3	Build 38;Mapped to 37	16	0	1	0
14008-22	DCP1A.14008.22.3	DCP1A.14008.22.3	14008-22_3	SL020295	mRNA-decapping enzyme 1A	DCP1A	Q9NPI6	NA	DCP1A	Human	Protein	ENSG00000272886	NA	3	53317448	53381637	DCP1A	Build 38;Mapped to 37	3	0	1	0
3285-23	C1R.3285.23.2	C1R.3285.23.2	3285-23_2	SL000310	Complement C1r subcomponent	C1r	P00736	715	C1R	Human	Protein	ENSG00000159403	ENSMUSG00000098470	12	7187513	7245203	C1R	Build 38;did not map;Mapped start and end individually	12	0	1	1
3285-23	C1R.3285.23.2	C1R.3285.23.2	3285-23_2	SL000310	Complement C1r subcomponent	C1r	P00736	715	C1R	Human	Protein	ENSG00000159403	ENSMUSG00000055172	12	7187513	7245203	C1R	Build 38;did not map;Mapped start and end individually	12	0	1	1
4124-24	HSPA1A.4124.24.2	HSPA1A.4124.24.2	4124-24_2	SL000451	Heat shock 70 kDa protein 1A	HSP 70	P0DMV8	3303	HSPA1A	Human	Protein	ENSG00000204389	ENSMUSG00000091971	6	31783241	31785723	HSPA1A	Build 38;Mapped to 37	6	0	1	1
4124-24	HSPA1A.4124.24.2	HSPA1A.4124.24.2	4124-24_2	SL000451	Heat shock 70 kDa protein 1A	HSP 70	P0DMV8	3303	HSPA1A	Human	Protein	ENSG00000204389	ENSMUSG00000090877	6	31783241	31785723	HSPA1A	Build 38;Mapped to 37	6	0	1	1
4124-24	HSPA1A.4124.24.2	HSPA1A.4124.24.2	4124-24_2	SL000451	Heat shock 70 kDa protein 1A	HSP 70	P0DMV8	3303	HSPA1A	Human	Protein	ENSG00000215328	NA	CHR_HSCHR6_MHC_QBL_CTG1	31773476	31775958	HSPA1A	Build 38;did not map;mapped to Chr6 in Build 37	6	0	0	1
4124-24	HSPA1A.4124.24.2	HSPA1A.4124.24.2	4124-24_2	SL000451	Heat shock 70 kDa protein 1A	HSP 70	P0DMV8	3303	HSPA1A	Human	Protein	ENSG00000234475	NA	CHR_HSCHR6_MHC_DBB_CTG1	31765427	31767909	HSPA1A	Build 38;did not map;mapped to Chr6 in Build 37	6	0	0	1
4124-24	HSPA1A.4124.24.2	HSPA1A.4124.24.2	4124-24_2	SL000451	Heat shock 70 kDa protein 1A	HSP 70	P0DMV8	3303	HSPA1A	Human	Protein	ENSG00000235941	NA	CHR_HSCHR6_MHC_APD_CTG1	31850270	31852752	HSPA1A	Build 38;did not map;mapped to Chr6 in Build 37	6	0	0	1
4124-24	HSPA1A.4124.24.2	HSPA1A.4124.24.2	4124-24_2	SL000451	Heat shock 70 kDa protein 1A	HSP 70	P0DMV8	3303	HSPA1A	Human	Protein	ENSG00000237724	NA	CHR_HSCHR6_MHC_COX_CTG1	31770611	31773093	HSPA1A	Build 38;did not map;mapped to Chr6 in Build 37	6	0	0	1
4393-3	FGF16.4393.3.1	FGF16.4393.3.1	4393-3_1	SL004334	Fibroblast growth factor 16	FGF-16	O43320	8823	FGF16	Human	Protein	ENSG00000196468	ENSMUSG00000031230	X	77841185	77851058	FGF16	Build 38;did not map;Mapped start and end individually	X	0	1	1
6340-10	GPHB5.6340.10.3	GPHB5.6340.10.3	6340-10_3	SL012658	Glycoprotein hormone beta-5	GPHB5	Q86YW7	122876	GPHB5	Human	Protein	ENSG00000179600	NA	14	63779549	63785593	GPHB5	Build 38 Mapped to 37;	14	0	1	0
6527-1	TRIL.6527.1.3	TRIL.6527.1.3	6527-1_3	SL017469	TLR4 interactor with leucine rich repeats	TRIL	Q7L0X0	9865	TRIL	Human	Protein	ENSG00000255690	NA	7	28992974	28997908	TRIL	Build 38;Mapped to 37	7	0	1	0
10000-28	CRYBB2.10000.28.3	CRYBB2.10000.28.3	10000-28_3	SL019233	Beta-crystallin B2	CRBB2	P43320	1415	CRYBB2	Human	Protein	ENSG00000244752	ENSMUSG00000042240	22	25615489	25627836	CRYBB2	Build 37	22	0	1	0
10006-25	ELK1.10006.25.3	ELK1.10006.25.3	10006-25_3	SL019228	ETS domain-containing protein Elk-1	ELK1	P19419	2002	ELK1	Human	Protein	ENSG00000126767	ENSMUSG00000009406	X	47494920	47510003	ELK1	Build 37	X	0	1	0
10008-43	GUCA1A.10008.43.3	GUCA1A.10008.43.3	10008-43_3	SL019234	Guanylyl cyclase-activating protein 1	GUC1A	P43080	2978	GUCA1A	Human	Protein	ENSG00000048545	ENSMUSG00000023982	6	42123144	42147794	GUCA1A	Build 37	6	0	1	0
10009-2	IRF1.10009.2.3	IRF1.10009.2.3	10009-2_3	SL007108	Interferon regulatory factor 1	IRF1	P10914	3659	IRF1	Human	Protein	ENSG00000125347	ENSMUSG00000018899	5	131817301	131826490	IRF1	Build 37	5	0	1	0
10011-65	OCRL.10011.65.3	OCRL.10011.65.3	10011-65_3	SL019246	Inositol polyphosphate 5-phosphatase OCRL-1	OCRL	Q01968	4952	OCRL	Human	Protein	ENSG00000122126	ENSMUSG00000001173	X	128673826	128726538	OCRL	Build 37	X	0	1	0
10013-34	KIAA0319.10013.34.3	KIAA0319.10013.34.3	10013-34_3	SL019201	Dyslexia-associated protein KIAA0319	K0319	Q5VV43	9856	KIAA0319	Human	Protein	ENSG00000137261	ENSMUSG00000006711	6	24544332	24646383	KIAA0319	Build 37	6	0	1	0
10014-31	SNAI2.10014.31.3	SNAI2.10014.31.3	10014-31_3	SL007803	Zinc finger protein SNAI2	SLUG	O43623	6591	SNAI2	Human	Protein	ENSG00000019549	ENSMUSG00000022676	8	49830249	49834299	SNAI2	Build 37	8	0	1	0
10015-119	KCNAB2.10015.119.3	KCNAB2.10015.119.3	10015-119_3	SL014924	Voltage-gated potassium channel subunit beta-2	KCAB2	Q13303	8514	KCNAB2	Human	Protein	ENSG00000069424	ENSMUSG00000028931	1	6051526	6161253	KCNAB2	Build 37	1	0	1	0
10021-1	SUSD2.10021.1.3	SUSD2.10021.1.3	10021-1_3	SL008577	Sushi domain-containing protein 2	SUSD2	Q9UGT4	56241	SUSD2	Human	Protein	ENSG00000099994	ENSMUSG00000006342	22	24577227	24585078	SUSD2	Build 37	22	0	1	0
10022-207	POLH.10022.207.3	POLH.10022.207.3	10022-207_3	SL019229	DNA polymerase eta	POLH	Q9Y253	5429	POLH	Human	Protein	ENSG00000170734	ENSMUSG00000023953	6	43543887	43586701	POLH	Build 37	6	0	1	0
10023-32	VDR.10023.32.3	VDR.10023.32.3	10023-32_3	SL004071	Vitamin D3 receptor	VDR	P11473	7421	VDR	Human	Protein	ENSG00000111424	ENSMUSG00000022479	12	48235320	48336831	VDR	Build 37	12	0	1	0
10024-44	HOGA1.10024.44.3	HOGA1.10024.44.3	10024-44_3	SL019235	4-hydroxy-2-oxoglutarate aldolase, mitochondrial	HOGA1	Q86XE5	112817	HOGA1	Human	Protein	ENSG00000241935	ENSMUSG00000025176	10	99344080	99372559	HOGA1	Build 37	10	0	1	0
10025-1	DLD.10025.1.3	DLD.10025.1.3	10025-1_3	SL008018	Dihydrolipoyl dehydrogenase, mitochondrial	DLDH	P09622	1738	DLD	Human	Protein	ENSG00000091140	ENSMUSG00000020664	7	107531415	107572175	DLD	Build 37	7	0	1	0
10030-8	MUTYH.10030.8.3	MUTYH.10030.8.3	10030-8_3	SL006373	A/G-specific adenine DNA glycosylase	MutY homolog	Q9UIF7	4595	MUTYH	Human	Protein	ENSG00000132781	ENSMUSG00000028687	1	45794835	45806142	MUTYH	Build 37	1	0	1	0
10034-16	FRK.10034.16.3	FRK.10034.16.3	10034-16_3	SL019241	Tyrosine-protein kinase FRK	FRK	P42685	2444	FRK	Human	Protein	ENSG00000111816	ENSMUSG00000019779	6	116252312	116381921	FRK	Build 37	6	0	1	0
10035-6	DUSP4.10035.6.3	DUSP4.10035.6.3	10035-6_3	SL007389	Dual specificity protein phosphatase 4	DUS4	Q13115	1846	DUSP4	Human	Protein	ENSG00000120875	ENSMUSG00000031530	8	29190581	29208185	DUSP4	Build 37	8	0	1	0
10036-201	ZHX3.10036.201.3	ZHX3.10036.201.3	10036-201_3	SL019252	Zinc fingers and homeoboxes protein 3	ZHX3	Q9H4I2	23051	ZHX3	Human	Protein	ENSG00000174306	ENSMUSG00000035877	20	39807088	39946312	ZHX3	Build 37	20	0	1	0
10037-98	SIGLEC12.10037.98.3	SIGLEC12.10037.98.3	10037-98_3	SL018490	Sialic acid-binding Ig-like lectin 12	SIG12	Q96PQ1	89858	SIGLEC12	Human	Protein	ENSG00000254521	ENSMUSG00000030474	19	51994611	52005043	SIGLEC12	Build 37	19	0	1	0
10039-32	PNP.10039.32.3	PNP.10039.32.3	10039-32_3	SL005262	Purine nucleoside phosphorylase	PNP	P00491	4860	PNP	Human	Protein	ENSG00000198805	ENSMUSG00000068417	14	20937113	20945253	PNP	Build 37	14	0	1	0
10039-32	PNP.10039.32.3	PNP.10039.32.3	10039-32_3	SL005262	Purine nucleoside phosphorylase	PNP	P00491	4860	PNP	Human	Protein	ENSG00000198805	ENSMUSG00000021871	14	20937113	20945253	PNP	Build 37	14	0	1	0
10040-63	TP63.10040.63.3	TP63.10040.63.3	10040-63_3	SL007662	Tumor protein 63	P73L	Q9H3D4	8626	TP63	Human	Protein	ENSG00000073282	ENSMUSG00000022510	3	189349205	189615068	TP63	Build 37	3	0	1	0
10041-3	HNF4A.10041.3.3	HNF4A.10041.3.3	10041-3_3	SL007226	Hepatocyte nuclear factor 4-alpha	HNF4A	P41235	3172	HNF4A	Human	Protein	ENSG00000101076	ENSMUSG00000017950	20	42984340	43061485	HNF4A	Build 37	20	0	1	0
10044-12	WNT10A.10044.12.3	WNT10A.10044.12.3	10044-12_3	SL012823	Protein Wnt-10a	WN10A	Q9GZT5	80326	WNT10A	Human	Protein	ENSG00000135925	ENSMUSG00000026167	2	219745085	219764303	WNT10A	Build 37	2	0	1	0
10045-47	CUL3.10045.47.3	CUL3.10045.47.3	10045-47_3	SL010989	Cullin-3	CUL3	Q13618	8452	CUL3	Human	Protein	ENSG00000036257	ENSMUSG00000004364	2	225334867	225450110	CUL3	Build 37	2	0	1	0
10047-12	NCF2.10047.12.3	NCF2.10047.12.3	10047-12_3	SL004553	Neutrophil cytosol factor 2	NCF-2	P19878	4688	NCF2	Human	Protein	ENSG00000116701	ENSMUSG00000026480	1	183524698	183560011	NCF2	Build 37	1	0	1	0
10048-7	CBFB.10048.7.3	CBFB.10048.7.3	10048-7_3	SL011998	Core-binding factor subunit beta	PEBB	Q13951	865	CBFB	Human	Protein	ENSG00000067955	ENSMUSG00000031885	16	67063019	67134961	CBFB	Build 37	16	0	1	0
10049-112	TERF1.10049.112.3	TERF1.10049.112.3	10049-112_3	SL019242	Telomeric repeat-binding factor 1	TERF1	P54274	7013	TERF1	Human	Protein	ENSG00000147601	ENSMUSG00000025925	8	73921099	73960357	TERF1	Build 37	8	0	1	0
10054-3	GAN.10054.3.3	GAN.10054.3.3	10054-3_3	SL019232	Gigaxonin	GAN	Q9H2C0	8139	GAN	Human	Protein	ENSG00000261609	ENSMUSG00000052557	16	81348557	81424489	GAN	Build 37	16	0	1	0
10058-1	RAD23A.10058.1.3	RAD23A.10058.1.3	10058-1_3	SL013796	UV excision repair protein RAD23 homolog A	RD23A	P54725	5886	RAD23A	Human	Protein	ENSG00000179262	ENSMUSG00000003813	19	13056669	13064456	RAD23A	Build 37	19	0	1	0
10063-10	FANCL.10063.10.3	FANCL.10063.10.3	10063-10_3	SL019237	E3 ubiquitin-protein ligase FANCL	FANCL	Q9NW38	55120	FANCL	Human	Protein	ENSG00000115392	ENSMUSG00000004018	2	58386378	58468507	FANCL	Build 37	2	0	1	0
10070-22	PLCG2.10070.22.3	PLCG2.10070.22.3	10070-22_3	SL016406	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2	PLCG2	P16885	5336	PLCG2	Human	Protein	ENSG00000197943	ENSMUSG00000034330	16	81772702	81991899	PLCG2	Build 37	16	0	1	0
10073-22	TDP1.10073.22.3	TDP1.10073.22.3	10073-22_3	SL011411	Tyrosyl-DNA phosphodiesterase 1	TYDP1	Q9NUW8	55775	TDP1	Human	Protein	ENSG00000042088	ENSMUSG00000021177	14	90421283	90511106	TDP1	Build 37	14	0	1	0
10075-75	ACBD6.10075.75.3	ACBD6.10075.75.3	10075-75_3	SL019254	Acyl-CoA-binding domain-containing protein 6	ACBD6	Q9BR61	84320	ACBD6	Human	Protein	ENSG00000135847	ENSMUSG00000033701	1	180244515	180472089	ACBD6	Build 37	1	0	1	0
10076-1	AP4M1.10076.1.3	AP4M1.10076.1.3	10076-1_3	SL019225	AP-4 complex subunit mu-1	AP4M1	O00189	9179	AP4M1	Human	Protein	ENSG00000221838	ENSMUSG00000019518	7	99699172	99707968	AP4M1	Build 37	7	0	1	0
10078-5	BAG3.10078.5.3	BAG3.10078.5.3	10078-5_3	SL007063	BAG family molecular chaperone regulator 3	BAG3	O95817	9531	BAG3	Human	Protein	ENSG00000151929	ENSMUSG00000030847	10	121410882	121437331	BAG3	Build 37	10	0	1	0
10080-9	EIF2B1.10080.9.3	EIF2B1.10080.9.3	10080-9_3	SL019240	Translation initiation factor eIF-2B subunit alpha	EI2BA	Q14232	1967	EIF2B1	Human	Protein	ENSG00000111361	ENSMUSG00000029388	12	124104953	124118313	EIF2B1	Build 37	12	0	1	0
10081-17	SATB2.10081.17.3	SATB2.10081.17.3	10081-17_3	SL019243	DNA-binding protein SATB2	SATB2	Q9UPW6	23314	SATB2	Human	Protein	ENSG00000119042	ENSMUSG00000038331	2	200134223	200335989	SATB2	Build 37	2	0	1	0
10085-25	STAR.10085.25.3	STAR.10085.25.3	10085-25_3	SL001714	Steroidogenic acute regulatory protein, mitochondrial	STAR	P49675	6770	STAR	Human	Protein	ENSG00000147465	ENSMUSG00000031574	8	38001167	38008783	STAR	Build 37	8	0	1	0
