Number	SOMAmer SeqID	Analyte Name	UniProt ID
78	3796-79_2	Angiopoietin-related protein 4	Q9BY76
79	3710-49_2	Angiostatin	P00747
80	2805-6_2	Angiotensin-converting enzyme 2	Q9BYF1
81	3484-60_2	Angiotensinogen	P01019
82	7624-19_3	Ankyrin-2	Q01484
83	4960-72_1	Annexin A1	P04083
84	4961-17_1	Annexin A2	P07355
85	14158-17_3	Annexin A5	P08758
86	5335-73_3	Annexin A6	P08133
87	4959-2_1	Anterior gradient protein 2 homolog	O95994
88	4413-3_2	Antileukoproteinase	P03973
89	3344-60_4	Antithrombin-III	P01008
90	2750-3_2	Apolipoprotein A-I	P02647
91	2797-56_2	Apolipoprotein B	P04114
92	4712-28_2	Apolipoprotein D	P05090
93	2418-55_9	Apolipoprotein E	P02649
94	5312-49_3	Apolipoprotein E (isoform E2)	P02649
95	2937-10_2	Apolipoprotein E (isoform E3)	P02649
96	2938-55_2	Apolipoprotein E (isoform E4)	P02649
97	11510-31_3	Apolipoprotein L1	O14791
98	14125-5_3	Apolipoprotein M	O95445
99	3412-7_1	Apoptosis regulator Bcl-2	P10415
100	8447-11_3	Appetite-regulating hormone	Q9UBU3
101	5867-60_3	Arginase-1	P05089
102	3538-26_1	Aromatic-L-amino-acid decarboxylase	P20711
103	2939-10_2	Artemin	Q5T4W7
104	3583-54_4	Arylsulfatase A	P15289
105	3172-28_2	Arylsulfatase B	P15848
106	5452-71_3	Asialoglycoprotein receptor 1	P07306
107	4912-17_1	Aspartate aminotransferase, cytoplasmic	P17174
108	4965-27_1	ATP synthase subunit beta, mitochondrial	P06576
109	9202-309_3	ATP synthase subunit O, mitochondrial	P48047
110	5460-60_3	ATP-dependent RNA helicase DDX19B	Q9UMR2
111	5443-62_2	Atrial natriuretic factor	P01160
112	3875-62_1	AT-rich interactive domain-containing protein 3A	Q99856
113	3091-70_2	Aurora kinase A	O14965
114	3346-72_2	Aurora kinase B	Q96GD4
115	2751-16_2	Azurocidin	P20160
116	4126-22_1	Bactericidal permeability-increasing protein	P17213
117	4973-18_1	Baculoviral IAP repeat-containing protein 3	Q13489
118	3472-40_2	Baculoviral IAP repeat-containing protein 5	O15392
119	4561-65_2	Baculoviral IAP repeat-containing protein 7 Isoform beta	Q96CA5
120	2816-50_2	Basal Cell Adhesion Molecule	P50895
121	3585-54_4	Basigin	P35613
122	13111-79_3	B-cell lymphoma 6 protein	P41182
123	2891-1_3	B-cell receptor CD22	P20273
124	5870-23_2	Bcl2-associated agonist of cell death	Q92934
125	4423-77_2	Bcl-2-like protein 1	Q07817
126	13097-11_3	Bcl-2-like protein 2	Q92843
127	3413-50_2	Bcl-2-related protein A1	Q16548
128	4866-59_2	BDNF/NT-3 growth factors receptor	Q16620
129	3485-28_2	Beta-2-microglobulin	P61769
130	3347-9_2	beta-adrenergic receptor kinase 1	P25098
131	5456-59_2	Beta-Ala-His dipeptidase	Q96KN2
132	13088-397_3	Betacellulin	P35070
133	2558-51_3	Beta-endorphin	P01189
134	5801-72_3	beta-nerve growth factor	P01138
135	5798-3_3	BH3-interacting domain death agonist	P55957
136	3284-75_1	Biglycan	P21810
137	3654-27_4	BMP-binding endothelial regulator protein	Q8N8U9
138	3348-49_2	Bone morphogenetic protein 1	P13497
139	3587-53_2	Bone morphogenetic protein 10	O95393
140	8459-10_3	Bone morphogenetic protein 6	P22004
141	2972-57_2	Bone morphogenetic protein 7	P18075
142	4859-6_1	Bone morphogenetic protein receptor type-1A	P36894
143	4862-63_1	Bone morphogenetic protein receptor type-2	Q13873
144	3415-61_2	Bone sialoprotein 2	P21815
145	3723-1_2	Brain natriuretic peptide 32	P16860
146	2421-7_3	Brain-derived neurotrophic factor	P23560
147	4534-10_2	Brain-specific serine protease 4	Q9GZN4
148	5262-57_3	Breast cancer anti-estrogen resistance protein 3	O75815
149	3461-58_1	Brevican core protein	Q96GW7
150	4328-2_2	Brother of CDO	Q9BWV1
151	4900-8_1	C3a anaphylatoxin	P01024
152	2755-8_2	C3a anaphylatoxin des Arginine	P01024
153	2851-63_3	C5a anaphylatoxin	P01031
154	2501-51_3	Cadherin-1	P12830
155	3656-9_1	Cadherin-12	P55289
156	5410-53_3	Cadherin-15	P55291
157	3797-1_1	Cadherin-2	P19022
158	2643-57_2	Cadherin-3	P22223
159	2819-23_2	Cadherin-5	P33151
160	3591-51_3	Cadherin-6	P55285
161	4903-72_1	Calcineurin	Q08209  P63098
162	3657-74_3	Calcineurin subunit B type 1	P63098
163	5253-1_1	Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A	P54750
164	3877-67_2	Calcium/calmodulin-dependent protein kinase kinase 1	Q8N5S9
165	3592-4_3	Calcium/calmodulin-dependent protein kinase type 1	Q14012
166	3418-12_2	Calcium/calmodulin-dependent protein kinase type 1D	Q8IU85
167	3350-53_2	Calcium/calmodulin-dependent protein kinase type II subunit alpha	Q9UQM7
168	3351-1_1	Calcium/calmodulin-dependent protein kinase type II subunit beta	Q13554
169	3419-49_2	Calcium/calmodulin-dependent protein kinase type II subunit delta	Q13557
170	2449-1_4	Calcium-dependent phospholipase A2	P39877
171	2668-70_2	Calpain I	P07384 P04632
172	3026-5_2	Calpastatin	P20810
173	5264-65_3	Calreticulin	P27797
174	3466-8_2	cAMP-dependent protein kinase catalytic subunit alpha	P17612
175	4963-19_1	cAMP-regulated phosphoprotein 19	P56211
176	5255-22_3	cAMP-specific 3',5'-cyclic phosphodiesterase 4D	Q08499
177	4469-78_2	Carbohydrate sulfotransferase 15	Q7LFX5
178	4428-1_2	Carbohydrate sulfotransferase 2	Q9Y4C5
179	4429-51_2	Carbohydrate sulfotransferase 6	Q9GZX3
180	4969-2_1	Carbonic anhydrase 1	P00915
181	3420-21_2	Carbonic anhydrase 13	Q8N1Q1
182	4970-55_1	Carbonic anhydrase 2	P00918
183	3799-11_2	Carbonic anhydrase 3	P07451
184	3177-49_2	Carbonic anhydrase 4	P22748
185	3352-80_3	Carbonic anhydrase 6	P23280
186	3356-50_1	Carbonic anhydrase 7	P43166
187	3798-71_1	Carbonic anhydrase 9	Q16790
188	3289-19_2	Carbonic anhydrase-related protein 10	Q9NS85
189	3518-54_2	Carboxypeptidase B2	Q96IY4
190	5343-74_3	Carboxypeptidase E	P16870
191	2889-37_2	Cardiotrophin-1	Q16619
192	5225-50_3	Casein kinase II 2-alpha:2-beta heterotetramer	P68400 P67870
193	5226-36_3	Casein kinase II 2-alpha':2-beta heterotetramer	P19784 P67870
194	3427-63_2	Casein kinase II subunit alpha	P68400
195	5340-24_3	Caspase-10	Q92851
196	4904-7_1	Caspase-2	P42575
197	3593-72_3	Caspase-3	P42574
198	3488-64_2	Catalase	P04040
199	3061-61_2	Cathepsin B	P07858
200	5508-62_3	Cathepsin D	P07339
201	3594-6_5	Cathepsin E	P14091
202	9212-22_3	Cathepsin F	Q9UBX1
203	2431-17_3	Cathepsin G	P08311
204	8465-52_3	Cathepsin H	P09668
205	3364-76_2	Cathepsin L2	O60911
206	3181-50_2	Cathepsin S	P25774
207	4971-1_1	Cathepsin Z	Q9UBR2
208	3676-15_3	Cation-independent mannose-6-phosphate receptor	P11717
209	2770-51_2	C-C motif chemokine 1	P22362
210	4144-13_1	C-C motif chemokine 13	Q99616
211	2900-53_3	C-C motif chemokine 14	Q16627
212	3509-1_1	C-C motif chemokine 15	Q16663
213	4913-78_1	C-C motif chemokine 16	O15467
214	3519-3_2	C-C motif chemokine 17	Q92583
215	3044-3_2	C-C motif chemokine 18	P55774
216	4922-13_1	C-C motif chemokine 19	Q99731
217	2578-67_2	C-C motif chemokine 2	P13500
218	2468-62_3	C-C motif chemokine 20	P78556
219	2516-57_3	C-C motif chemokine 21	O00585
220	3508-78_3	C-C motif chemokine 22	O00626
221	2913-1_2	C-C motif chemokine 23	P55773
222	4128-27_2	C-C motif chemokine 24	O00175
223	2705-5_2	C-C motif chemokine 25	O15444
224	9168-31_3	C-C motif chemokine 26	Q9Y258
225	2192-63_10	C-C motif chemokine 27	Q9Y4X3
226	2890-59_2	C-C motif chemokine 28	Q9NRJ3
227	3040-59_1	C-C motif chemokine 3	P10147
228	2783-18_2	C-C motif chemokine 3-like 1	P16619
229	2781-63_2	C-C motif chemokine 4-like	Q8NHW4
230	5480-49_3	C-C motif chemokine 5	P13501
231	4886-3_1	C-C motif chemokine 7	P80098
232	2785-15_2	C-C motif chemokine 8	P80075
233	10337-83_3	CCAAT/enhancer-binding protein beta	P17676
234	3290-50_2	CD109 antigen	Q6YHK3
235	5451-1_3	CD166 antigen	Q13740
236	13116-25_3	CD177 antigen	Q8N6Q3
237	3029-52_2	CD209 antigen	Q9NNX6
238	5062-60_3	CD226 antigen	Q15762
239	5412-53_3	CD27 antigen	P26842
240	3534-14_2	CD40 ligand	P29965
241	3292-75_1	CD48 antigen	P09326
242	3293-2_4	CD5 antigen-like	O43866
243	11514-196_3	CD59 glycoprotein	P13987
244	9190-7_3	CD63 antigen	P08962
245	5807-77_3	CD70 antigen	P32970
246	5065-8_2	CD83 antigen	Q01151
247	2822-56_2	CD97 antigen	P48960
248	3326-58_2	Cell adhesion molecule 1	Q9BY67
249	3630-27_4	Cell adhesion molecule 3	Q8N126
250	4541-49_2	Cell adhesion molecule-related/down-regulated by oncogenes	Q4KMG0
251	5103-30_3	Cell surface glycoprotein CD200 receptor 1	Q8TD46
252	6152-111_3	Cellular tumor antigen p53	P04637
253	4962-52_1	Cerebral dopamine neurotrophic factor	Q49AH0
254	5246-64_3	cGMP-dependent 3',5'-cyclic phosphodiesterase	O00408
255	5254-69_3	cGMP-inhibited 3',5'-cyclic phosphodiesterase A	Q14432
256	5256-86_3	cGMP-specific 3',5'-cyclic phosphodiesterase	O76074
257	11104-13_3	Chitinase-3-like protein 1	P36222
258	3600-2_3	Chitotriosidase-1	Q13231
259	5013-2_1	Chloride intracellular channel protein 1	O00299
260	13117-232_3	Choline/ethanolamine kinase	Q9Y259
261	3362-61_2	Chordin-like protein 1	Q9BU40
262	13103-125_3	Chorionic somatomammotropin hormone	P0DML2 P0DML3
263	4540-11_2	Chromobox protein homolog 5	P45973
264	8476-11_3	Chromogranin-A	P10645
265	3423-59_2	Chymase	P23946
266	3489-9_2	Ciliary neurotrophic factor	P26441
267	2711-6_2	Ciliary neurotrophic factor receptor subunit alpha	P26992
268	3028-36_2	Ck-beta-8-1	P55773
269	4542-24_2	Clusterin	P10909
270	5066-134_3	CMRF35-like molecule 6	Q08708
271	4905-63_1	Coactosin-like protein	Q14019
272	4876-32_1	Coagulation factor IX	P00740
273	5307-12_3	Coagulation factor IXab	P00740
274	4906-35_1	Coagulation Factor V	P12259
275	3184-25_2	Coagulation factor VII	P08709
276	4878-3_1	Coagulation Factor X	P00742
277	3077-66_2	Coagulation factor Xa	P00742
278	2190-55_1	Coagulation Factor XI	P03951
279	4203-50_2	Cofilin-1	P23528
280	3234-23_2	Coiled-coil domain-containing protein 80	Q76M96
281	4807-13_3	Collagen alpha-1(VIII) chain	P27658
282	4543-65_2	Collagen alpha-1(XXIII) chain	Q86Y22
283	4925-54_2	Collagenase 3	P45452
284	4430-44_3	Collectin-11	Q9BWP8
285	5457-5_2	Collectin-12	Q5KU26
286	2823-7_1	COMM domain-containing protein 7	Q86VX2
287	2753-2_2	Complement C1q subcomponent	P02745  P02746  P02747
288	3285-23_2	Complement C1r subcomponent	P00736
289	3590-8_3	Complement C1s subcomponent	P09871
290	3186-2_2	Complement C2	P06681
291	2754-50_2	Complement C3	P01024
292	4480-59_2	Complement C3b	P01024
293	2683-1_2	Complement C3b, inactivated	P01024
294	5803-24_3	Complement C3d fragment	P01024
295	4481-34_2	Complement C4	P0C0L4, P0C0L5
296	2182-54_1	Complement C4b	P0C0L4  P0C0L5
297	2381-52_4	Complement C5	P01031
298	4482-66_2	Complement C5b-C6 complex	P01031,P13671
299	4967-1_1	Complement component 1 Q subcomponent-binding protein, mitochondrial	Q07021
300	14136-234_3	Complement component C1q receptor	Q9NPY3
301	4127-75_1	Complement component C6	P13671
302	2888-49_2	Complement component C7	P10643
303	2429-27_4	Complement component C8	P07357,P07358,P07360
304	3060-43_2	Complement component C9	P02748
305	5069-9_3	Complement decay-accelerating factor	P08174
306	4129-72_1	Complement factor B	P00751
307	2946-52_2	Complement factor D	P00746
308	4159-130_1	Complement factor H	P08603
309	3666-17_4	Complement factor H-related protein 5	Q9BXR6
310	2567-5_6	Complement factor I	P05156
311	2975-19_2	Connective tissue growth factor	P29279
312	4544-4_3	Connective tissue-activating peptide III	P02775
313	2974-61_2	Contactin-1	Q12860
314	3296-92_2	Contactin-2	Q02246
315	3298-52_2	Contactin-4	Q8IWV2
316	3299-29_2	Contactin-5	O94779
317	5346-24_3	Copine-1	Q99829
318	4785-30_3	Corticosteroid-binding globulin	P08185
319	4890-10_1	Corticotropin	P01189
320	4337-49_2	C-reactive protein	P02741
321	3800-71_2	Creatine kinase B-type	P12277
322	2670-67_4	Creatine kinase M-type	P06732
323	3714-49_2	Creatine kinase M-type:Creatine kinase B-type heterodimer	P12277 P06732
324	3294-55_2	Cryptic protein	P0CG37
325	4332-6_2	C-type lectin domain family 1 member B	Q9P126
326	3361-26_2	C-type lectin domain family 4 member K	Q9UJ71
327	3030-3_2	C-type lectin domain family 4 member M	Q9H2X3
328	3603-60_5	C-type lectin domain family 7 member A	Q9BXN2
329	3041-55_2	C-type mannose receptor 2	Q9UBG0
330	4141-79_1	C-X-C motif chemokine 10	P02778
331	3038-9_2	C-X-C motif chemokine 11	O14625
332	3487-32_2	C-X-C motif chemokine 13	O43927
333	2436-49_4	C-X-C motif chemokine 16	Q9H2A7
334	2979-8_2	C-X-C motif chemokine 5	P42830
335	3495-15_2	C-X-C motif chemokine 6	P80162
336	9188-119_3	C-X-C motif chemokine 9	Q07325
337	3422-4_2	Cyclin-dependent kinase 1:G2/mitotic-specific cyclin-B1 complex	P06493 P14635
338	3357-67_2	Cyclin-dependent kinase 2:Cyclin-A2 complex	P24941 P20248
339	3358-51_2	Cyclin-dependent kinase 5:Cyclin-dependent kinase 5 activator 1 complex	Q00535 Q15078
340	3359-11_2	Cyclin-dependent kinase 8:Cyclin-C complex	P49336 P24863
341	3719-2_2	Cyclin-dependent kinase inhibitor 1B	P46527
342	2609-59_2	Cystatin-C	P01034
343	3803-10_2	Cystatin-D	P28325
344	3302-58_1	Cystatin-F	O76096
345	3303-23_2	Cystatin-M	Q15828
346	3802-50_1	Cystatin-S	P01036
347	4324-33_2	Cystatin-SA	P09228
348	5459-33_3	Cystatin-SN	P01037
349	9171-11_3	Cysteine and glycine-rich protein 3	P50461
350	3187-52_2	Cysteine-rich secretory protein 3	P54108
351	7628-40_3	Cysteine-rich with EGF-like domain protein 1	Q96HD1
352	2942-50_2	Cytochrome c	P99999
353	2943-5_2	Cytochrome P450 3A4	P08684
354	2634-2_2	Cytokine receptor common subunit gamma	P31785
355	2607-54_2	Cytokine receptor-like factor 1:Cardiotrophin-like cytokine factor 1 Complex	O75462 Q9UBD9
356	2746-56_1	Cytokine receptor-like factor 2	Q9HC73
357	5014-49_1	Cytoplasmic protein NCK1	P16333
358	3414-40_2	Cytoplasmic tyrosine-protein kinase BMX	P51813
359	5345-51_3	Cytoskeleton-associated protein 2	Q8WWK9
360	3192-3_2	Cytosolic non-specific dipeptidase	Q96KP4
361	5068-54_3	Cytotoxic and regulatory T-cell molecule	O95727
362	3022-4_2	Cytotoxic T-lymphocyte protein 4	P16410
363	4314-12_2	dCTP pyrophosphatase 1	Q9H773
364	4907-56_1	D-dimer	P02671 P02675 P02679
365	4355-13_1	Death-associated protein kinase 2	Q9UIK4
366	2666-53_2	Decorin	P07585
367	5349-69_3	Delta-like protein 1	O00548
368	3305-6_1	Delta-like protein 4	Q9NR61
369	4979-34_2	Dermatopontin	Q07507
370	4389-2_1	Desert hedgehog protein N-product	O43323
371	13126-52_3	Desmocollin-2	Q02487
372	4981-6_1	Desmocollin-3	Q14574
373	2976-58_2	Desmoglein-1	Q02413
374	5071-3_3	Desmoglein-2	Q14126
375	3122-6_2	Diablo homolog, mitochondrial	Q9NR28
376	3644-5_4	Dickkopf-like protein 1	Q9UK85
377	3535-84_1	Dickkopf-related protein 1	O94907
378	3607-71_1	Dickkopf-related protein 3	Q9UBP4
379	3365-7_2	Dickkopf-related protein 4	Q9UBT3
380	3178-5_2	Dipeptidyl peptidase 1	P53634
381	3608-12_5	Dipeptidyl peptidase 2	Q9UHL4
382	3606-2_5	Discoidin domain-containing receptor 2	Q16832
383	4420-7_2	Disintegrin and metalloproteinase domain-containing protein 12	O43184
384	3795-6_2	Disintegrin and metalloproteinase domain-containing protein 9	Q13443
385	2871-73_2	DNA repair protein RAD51 homolog 1	Q06609
386	2876-74_2	DNA topoisomerase 1	P11387
387	3852-19_2	DnaJ homolog subfamily B member 1	P25685
388	9175-48_3	Down syndrome cell adhesion molecule	O60469
389	4978-54_2	Drebrin-like protein	Q9UJU6
390	5252-33_3	Dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11A	Q9HCR9
391	2864-2_3	Dual specificity mitogen-activated protein kinase kinase 1	Q02750
392	3628-3_4	Dual specificity mitogen-activated protein kinase kinase 2	P36507
393	6151-18_3	Dual specificity mitogen-activated protein kinase kinase 3	P46734
394	5242-37_3	Dual specificity mitogen-activated protein kinase kinase 4	P45985
395	3480-7_1	Dual specificity protein phosphatase 3	P51452
396	4359-87_1	Dual specificity tyrosine-phosphorylation-regulated kinase 3	O43781
397	5879-51_3	Dynactin subunit 2	Q13561
398	3881-49_2	Dynein light chain 1, cytoplasmic	P63167
399	3845-51_2	Dynein light chain roadblock-type 1	Q9NP97
400	10342-55_3	E3 SUMO-protein ligase PIAS4	Q8N2W9
401	10336-3_3	E3 ubiquitin-protein ligase CHIP	Q9UNE7
402	4245-80_2	E3 ubiquitin-protein ligase Mdm2	Q00987
403	14120-2_3	E3 ubiquitin-protein ligase RNF43	Q68DV7
404	14122-132_3	E3 ubiquitin-protein ligase ZNRF3	Q9ULT6
405	2826-53_2	Ectodysplasin-A, secreted form	Q92838
406	3182-38_2	Ectonucleoside triphosphate diphosphohydrolase 1	P49961
407	4436-1_2	Ectonucleoside triphosphate diphosphohydrolase 3	O75355
408	4437-56_3	Ectonucleoside triphosphate diphosphohydrolase 5	O75356
409	4435-66_2	Ectonucleotide pyrophosphatase/phosphodiesterase family member 7	Q6UWV6
410	8480-29_3	EGF-containing fibulin-like extracellular matrix protein 1	Q12805
411	4982-54_1	Elafin	P19957
412	5882-34_2	Elongation factor 1-beta	P24534
413	4908-6_1	Endoglin	P17813
414	4964-67_1	Endoplasmic reticulum aminopeptidase 1	Q9NZ08
415	4983-6_1	Endoplasmic reticulum resident protein 29	P30040
416	2201-17_6	Endostatin	P39060
417	2981-9_3	Endothelial cell-selective adhesion molecule	Q96AP7
418	3805-16_2	Endothelial cell-specific molecule 1	Q9NQ30
419	2714-78_2	Endothelial monocyte-activating polypeptide 2	Q12904
420	3611-70_4	Endothelin-converting enzyme 1	P42892
421	3189-61_2	Enteropeptidase	P98073
422	5301-7_3	Eotaxin	P51671
423	3431-54_2	Ephrin type-A receptor 1	P21709
424	5076-53_2	Ephrin type-A receptor 10	Q5JZY3
425	4834-61_2	Ephrin type-A receptor 2	P29317
426	3432-21_2	Ephrin type-A receptor 3	P29320
427	3806-55_1	Ephrin type-A receptor 5	P54756
428	5077-28_3	Ephrin type-B receptor 2	P29323
429	3612-6_4	Ephrin type-B receptor 4	P54760
430	5078-82_3	Ephrin type-B receptor 6	O15197
431	14124-6_3	Ephrin-A2	O43921
432	14153-8_3	Ephrin-A3	P52797
433	2614-28_2	Ephrin-A4	P52798
434	2615-60_2	Ephrin-A5	P52803
435	13104-32_3	Ephrin-B1	P98172
436	14131-37_3	Ephrin-B2	P52799
437	2514-65_3	Ephrin-B3	Q15768
438	5509-7_3	Epidermal growth factor	P01133
439	2677-1_1	Epidermal growth factor receptor	P00533
440	4212-5_3	Epidermal growth factor receptor substrate 15-like 1	Q9UBC2
441	5328-33_37	Epidermal growth factor receptor variant III	P00533
442	4956-2_1	Epiregulin	O14944
443	4122-12_2	Epithelial discoidin domain-containing receptor 1	Q08345
444	5813-58_3	Erythropoietin	P01588
445	2715-25_2	Erythropoietin receptor	P19235
446	3470-1_2	E-selectin	P16581
447	4708-3_2	Estradiol 17-beta-dehydrogenase 1	P14061
448	2945-25_1	Estrogen receptor	P03372
449	4997-19_1	Eukaryotic initiation factor 4A-III	P38919
450	4230-1_2	Eukaryotic translation initiation factor 4 gamma 2	P78344
451	4184-43_3	Eukaryotic translation initiation factor 4E-binding protein 2	Q13542
452	5885-55_3	Eukaryotic translation initiation factor 4H	Q15056
453	2612-5_2	Eukaryotic translation initiation factor 5	P55010
454	5888-29_3	Eukaryotic translation initiation factor 5A-1	P63241
455	3366-51_2	Extracellular matrix protein 1	Q16610
456	8463-2_3	Extracellular superoxide dismutase [Cu-Zn]	P08294
457	5032-64_1	FACT complex subunit SSRP1	Q08945
458	4985-11_1	Fatty acid-binding protein, epidermal	Q01469
459	5437-63_3	Fatty acid-binding protein, heart	P05413
460	11516-7_3	Fatty acid-binding protein, liver	P07148
461	4440-15_2	Fc receptor-like protein 3	Q96P31
462	5934-1_3	Ferritin	P02794 P02792
463	3367-8_3	Fetuin-B	Q9UGM5
464	2796-62_2	Fibrinogen	P02671 P02675 P02679
465	4989-7_1	Fibrinogen gamma chain	P02679
466	3486-58_2	Fibroblast growth factor 1	P05230
467	2441-2_4	Fibroblast growth factor 10	O15520
468	4392-54_2	Fibroblast growth factor 12	P61328
469	4393-3_1	Fibroblast growth factor 16	O43320
470	3494-71_3	Fibroblast growth factor 17	O60258
471	2761-49_2	Fibroblast growth factor 18	O76093
472	2762-30_2	Fibroblast growth factor 19	O95750
473	3025-50_1	Fibroblast growth factor 2	P09038
474	2763-66_2	Fibroblast growth factor 20	Q9NP95
475	3807-1_2	Fibroblast growth factor 23	Q9GZV9
476	4123-60_2	Fibroblast growth factor 4	P08620
477	3065-65_1	Fibroblast growth factor 5	P12034
478	4130-71_1	Fibroblast growth factor 6	P10767
479	4487-1_1	Fibroblast growth factor 7	P21781
480	4394-71_2	Fibroblast growth factor 8 isoform A	P55075
481	2443-10_4	Fibroblast growth factor 8 isoform B	P55075
482	2764-20_2	Fibroblast growth factor 9	P31371
483	5532-53_3	Fibroblast growth factor receptor 1	P11362
484	3808-76_2	Fibroblast growth factor receptor 2	P21802
485	3809-1_2	Fibroblast growth factor receptor 3	P22607
486	4988-49_2	Fibroblast growth factor receptor 4	P22455
487	4131-72_2	Fibronectin	P02751
488	3434-34_1	Fibronectin Fragment 3	P02751
489	3435-53_2	Fibronectin Fragment 4	P02751
490	3613-62_5	Ficolin-1	O00602
491	3313-21_2	Ficolin-2	Q15485
492	5462-62_3	Ficolin-3	O75636
