chr	start	end	ensGene	UniProt	symbol	TargetFullName	extGene	Target	UniProts	SOMAMER_ID
1	12227060	12269285	ENSG00000028137	P20333	TNFRSF1B	Tumor necrosis factor receptor superfamily member 1B	TNFRSF1B	TNF sR-II	P20333	TNFRSF1B.3152.57.1
1	12227060	12269285	ENSG00000028137	P20333	TNFRSF1B	Tumor necrosis factor receptor superfamily member 1B	TNFRSF1B	TNF sR-II	P20333	TNFRSF1B.8368.102.3
1	15764935	15775737	ENSG00000162438	Q99895	CTRC	Chymotrypsin-C	CTRC	CTRC	Q99895	CTRC.5626.20.3
1	15783223	15798586	ENSG00000142615	P08217	CELA2A	Chymotrypsin-like elastase family member 2A	CELA2A	ELA2A	P08217	CELA2A.7140.1.3
1	16450832	16482582	ENSG00000142627	P29317	EPHA2	Ephrin type-A receptor 2	EPHA2	Epithelial cell kinase	P29317	EPHA2.4834.61.2
1	17300997	17307330	ENSG00000117122	P55001	MFAP2	Microfibrillar-associated protein 2	MFAP2	MFAP2	P55001	MFAP2.9294.45.3
1	19542158	19578046	ENSG00000127463	Q8N766	EMC1	ER membrane protein complex subunit 1	EMC1	EMC1	Q8N766	EMC1.11989.35.3
1	19923477	19956314	ENSG00000173436	Q5TGZ0	MINOS1	MICOS complex subunit MIC10	MINOS1	MOS1	Q5TGZ0	MINOS1.7956.11.3
1	19967048	19984945	ENSG00000158747	P41271	NBL1	Neuroblastoma suppressor of tumorigenicity 1	NBL1	DAN	P41271	NBL1.2944.66.2
1	20246502	20250110	ENSG00000188784	Q9NZK7	PLA2G2E	Group IIE secretory phospholipase A2	PLA2G2E	GIIE	Q9NZK7	PLA2G2E.13670.81.3
1	20246502	20250110	ENSG00000188784	Q9NZK7	PLA2G2E	Group IIE secretory phospholipase A2	PLA2G2E	GIIE	Q9NZK7	PLA2G2E.2447.7.4
1	20301925	20306932	ENSG00000188257	P14555	PLA2G2A	Phospholipase A2, membrane associated	PLA2G2A	NPS-PLA2	P14555	PLA2G2A.2692.74.2
1	20354672	20417683	ENSG00000127472	P39877	PLA2G5	Calcium-dependent phospholipase A2	PLA2G5	GV	P39877	PLA2G5.2449.1.4
1	20487746	20503917	ENSG00000187980	Q5R387	PLA2G2C	Putative inactive group IIC secretory phospholipase A2	PLA2G2C	PA2GC	Q5R387	PLA2G2C.8850.5.3
1	20825943	20834654	ENSG00000090432	Q969V5	MUL1	Mitochondrial ubiquitin ligase activator of NFKB 1	MUL1	MUL1	Q969V5	MUL1.11159.14.3
1	20825943	20834654	ENSG00000090432	Q969V5	MUL1	Mitochondrial ubiquitin ligase activator of NFKB 1	MUL1	MUL1	Q969V5	MUL1.9315.16.3
1	21132963	21503377	ENSG00000075151	O43432	EIF4G3	Eukaryotic translation initiation factor 4 gamma 3	EIF4G3	IF4G3	O43432	EIF4G3.13991.47.3
1	21543740	21671997	ENSG00000117298	P42892	ECE1	Endothelin-converting enzyme 1	ECE1	Endothelin-converting enzyme 1	P42892	ECE1.3611.70.4
1	21543740	21671997	ENSG00000117298	P42892	ECE1	Endothelin-converting enzyme 1	ECE1	Endothelin-converting enzyme 1	P42892	ECE1.8767.44.3
1	21922708	21995801	ENSG00000076864	P47736	RAP1GAP	Rap1 GTPase-activating protein 1	RAP1GAP	RPGP1	P47736	RAP1GAP.13735.1.3
1	22303514	22325135	ENSG00000219073	P08861	CELA3B	Chymotrypsin-like elastase family member 3B	CELA3B	ELA3B	P08861	CELA3B.6357.83.3
1	22379120	22419437	ENSG00000070831	P60953	CDC42	Cell division control protein 42 homolog	CDC42	Cdc42Hs	P60953	CDC42.9840.2.3
1	22970123	22974603	ENSG00000159189	P02747	C1QC	Complement C1q subcomponent subunit C	C1QC	C1QC	P02747	C1QC.14100.63.3
1	23037332	23241818	ENSG00000133216	P29323	EPHB2	Ephrin type-B receptor 2	EPHB2	EPHB2	P29323	EPHB2.5077.28.3
1	23037332	23241818	ENSG00000133216	P29323	EPHB2	Ephrin type-B receptor 2	EPHB2	EPHB2	P29323	EPHB2.8225.86.3
1	23037332	23241818	ENSG00000133216	P29323	EPHB2	Ephrin type-B receptor 2	EPHB2	EPHB2	P29323	EPHB2.8348.4.3
1	24446261	24469611	ENSG00000142677	Q8N6P7	IL22RA1	Interleukin-22 receptor subunit alpha-1	IL22RA1	IL22RA1	Q8N6P7	IL22RA1.3620.67.2
1	24446261	24469611	ENSG00000142677	Q8N6P7	IL22RA1	Interleukin-22 receptor subunit alpha-1	IL22RA1	IL22RA1	Q8N6P7	IL22RA1.9603.9.3
1	24480647	24514449	ENSG00000185436	Q8IU57	IFNLR1	Interferon lambda receptor 1	IFNLR1	CRF2-12	Q8IU57	IFNLR1.7192.37.3
1	24882602	24935819	ENSG00000184454	Q5T1S8	NCMAP	Noncompact myelin-associated protein	NCMAP	CA130	Q5T1S8	NCMAP.14614.41.3
1	25071848	25170815	ENSG00000169504	Q9Y696	CLIC4	Chloride intracellular channel protein 4	CLIC4	CLIC4	Q9Y696	CLIC4.12491.23.3
1	25226002	25291612	ENSG00000020633	Q13761	RUNX3	Runt-related transcription factor 3	RUNX3	RUNX3	Q13761	RUNX3.11138.16.3
1	25568728	25664704	ENSG00000117616	Q9BUV0	RSRP1	Arginine/serine-rich protein 1	C1orf63	CA063	Q9BUV0	RSRP1.9050.170.3
1	25757388	25826700	ENSG00000204178	Q8N5G2	TMEM57	Macoilin	TMEM57	MACOI	Q8N5G2	TMEM57.12367.52.3
1	27189633	27190947	ENSG00000175793	P31947	SFN	14-3-3 protein sigma	SFN	STRATIFIN	P31947	SFN.4829.43.6
1	27189633	27190947	ENSG00000175793	P31947	YWHAB,YWHAE,YWHAG,YWHAH,YWHAQ,YWHAZ,SFN	14-3-3 protein family	SFN	14/03/2003	P27348,P31946,P31947,P61981,P62258,P63104,Q04917	YWHAB.YWHAE.YWHAG.YWHAH.YWHAQ.YWHAZ.SFN.4707.50.2
1	27226729	27273353	ENSG00000090273	Q9Y266	NUDC	Nuclear migration protein nudC	NUDC	NUDC	Q9Y266	NUDC.8887.21.3
1	27668513	27680421	ENSG00000142765	Q8IYJ3	SYTL1	Synaptotagmin-like protein 1	SYTL1	SYTL1	Q8IYJ3	SYTL1.12892.10.3
1	27938575	27961788	ENSG00000000938	P09769	FGR	Tyrosine-protein kinase Fgr	FGR	FGR	P09769	FGR.3810.50.2
1	29563028	29653325	ENSG00000060656	Q92729	PTPRU	Receptor-type tyrosine-protein phosphatase U	PTPRU	PTPRU	Q92729	PTPRU.8337.65.3
1	31838472	31849697	ENSG00000121769	P05413	FABP3	Fatty acid-binding protein, heart	FABP3	FABP	P05413	FABP3.4696.2.2
1	32042116	32053288	ENSG00000142910	Q9GZM7	TINAGL1	Tubulointerstitial nephritis antigen-like	TINAGL1	TINAL	Q9GZM7	TINAGL1.11192.168.3
1	32372022	32410457	ENSG00000184007	Q12974	PTP4A2	Protein tyrosine phosphatase type IVA 2	PTP4A2	TP4A2	Q12974	PTP4A2.11699.16.3
1	32645287	32663886	ENSG00000084652	P40222	TXLNA	Alpha-taxilin	TXLNA	TXLNA	P40222	TXLNA.9065.28.3
1	32680073	32687972	ENSG00000160055	Q8WY98	TMEM234	Transmembrane protein 234	TMEM234	TM234	Q8WY98	TMEM234.8107.12.3
1	32716840	32751766	ENSG00000182866	P06239	LCK	Tyrosine-protein kinase Lck	LCK	LCK	P06239	LCK.3452.17.2
1	32716840	32751766	ENSG00000182866	P06239	LCK	Tyrosine-protein kinase Lck	LCK	LCK	P06239	LCK.4560.34.2
1	33327869	33338083	ENSG00000160097	Q8NAU1	FNDC5	Fibronectin type III domain-containing protein 5	FNDC5	FNDC5	Q8NAU1	FNDC5.8041.5.3
1	33979609	34631443	ENSG00000121904	Q7Z408	CSMD2	CUB and sushi domain-containing protein 2	CSMD2	CSMD2	Q7Z408	CSMD2.9971.5.3
1	35899091	36023551	ENSG00000142687	Q8IZA0	KIAA0319L	Dyslexia-associated protein KIAA0319-like protein	KIAA0319L	K319L	Q8IZA0	KIAA0319L.13698.28.3
1	36335409	36395211	ENSG00000092847	Q9UL18	AGO1	Protein argonaute-1	AGO1	AGO1	Q9UL18	AGO1.11651.24.3
1	36931644	36948879	ENSG00000119535	Q99062	CSF3R	Granulocyte colony-stimulating factor receptor	CSF3R	G-CSF-R	Q99062	CSF3R.2719.3.4
1	38179552	38230805	ENSG00000183317	Q5JZY3	EPHA10	Ephrin type-A receptor 10	EPHA10	EPHAA	Q5JZY3	EPHA10.6036.78.3
1	40026488	40042462	ENSG00000090621	Q13310	PABPC4	Polyadenylate-binding protein 4	PABPC4	PABP4	Q13310	PABPC4.12603.87.3
1	40157854	40229586	ENSG00000084072	Q9UNP9	PPIE	Peptidyl-prolyl cis-trans isomerase E	PPIE	PPIE	Q9UNP9	PPIE.5238.26.3
1	40538379	40563375	ENSG00000131238	P50897	PPT1	Palmitoyl-protein thioesterase 1	PPT1	PPT1	P50897	PPT1.9244.27.3
1	40766159	40783488	ENSG00000049089	Q14055	COL9A2	Collagen alpha-2(IX) chain	COL9A2	CO9A2	Q14055	COL9A2.9804.11.3
1	41492872	41707826	ENSG00000010803	Q96GD3	SCMH1	Polycomb protein SCMH1	SCMH1	SCMH1	Q96GD3	SCMH1.12604.16.3
1	41944446	41950344	ENSG00000127129	P20800	EDN2	Endothelin-2	EDN2	Endothelin 2	P20800	EDN2.12574.36.3
1	42619092	42621495	ENSG00000044012	Q16661	GUCA2B	Guanylate cyclase activator 2B	GUCA2B	GUC2B	Q16661	GUCA2B.6223.5.3
1	43124096	43142429	ENSG00000171960	O43447	PPIH	Peptidyl-prolyl cis-trans isomerase H	PPIH	PPIH	O43447	PPIH.12449.16.3
1	43282795	43310660	ENSG00000164010	Q96PL5	ERMAP	Erythroid membrane-associated protein	ERMAP	ERMAP	Q96PL5	ERMAP.8631.13.3
1	43747554	43751288	ENSG00000253313	Q8IVY1	C1orf210	Type III endosome membrane protein TEMP	C1orf210	CA210	Q8IVY1	C1orf210.8088.56.3
1	43766664	43788779	ENSG00000066056	P35590	TIE1	Tyrosine-protein kinase receptor Tie-1, soluble	TIE1	sTie-1	P35590	TIE1.2844.53.2
1	43803478	43818443	ENSG00000117400	P40238	MPL	Thrombopoietin Receptor	MPL	Thrombopoietin Receptor	P40238	MPL.3473.78.2
1	44398992	44402913	ENSG00000117407	Q5T4W7	ARTN	Artemin	ARTN	Artemin	Q5T4W7	ARTN.2939.10.2
1	44444615	44456840	ENSG00000117411	O60909	B4GALT2	Beta-1,4-galactosyltransferase 2	B4GALT2	B4GT2	O60909	B4GALT2.9595.11.3
1	44457172	44497139	ENSG00000196517	P48067	SLC6A9	Sodium- and chloride-dependent glycine transporter 1	SLC6A9	SC6A9	P48067	SLC6A9.11653.69.3
1	45794835	45806142	ENSG00000132781	Q9UIF7	MUTYH	A/G-specific adenine DNA glycosylase	MUTYH	MutY homolog	Q9UIF7	MUTYH.10030.8.3
1	45976708	45988719	ENSG00000117450	Q06830	PRDX1	Peroxiredoxin-1	PRDX1	Peroxiredoxin-1	Q06830	PRDX1.3855.56.1
1	46016215	46035721	ENSG00000117448	P14550	AKR1A1	Alcohol dehydrogenase [NADP(+)]	AKR1A1	AK1A1	P14550	AKR1A1.4192.10.2
1	46654354	46685977	ENSG00000085998	Q8WZA1	POMGNT1	Protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1	POMGNT1	PMGT1	Q8WZA1	POMGNT1.8253.2.3
1	47124366	47184824	ENSG00000159658	O75071	EFCAB14	EF-hand calcium-binding domain-containing protein 14	EFCAB14	K0494	O75071	EFCAB14.10830.5.3
1	47649265	47656716	ENSG00000162366	Q13113	PDZK1IP1	PDZK1-interacting protein 1	PDZK1IP1	PDZ1I	Q13113	PDZK1IP1.8260.13.3
1	47799469	47844511	ENSG00000162368	P30085	CMPK1	UMP-CMP kinase	CMPK1	Cytidylate kinase	P30085	CMPK1.4786.58.3
1	47799469	47844511	ENSG00000162368	P30085	CMPK1	UMP-CMP kinase	CMPK1	Cytidylate kinase	P30085	CMPK1.8312.139.3
1	51567906	51613752	ENSG00000204006	Q5T7R7	C1orf185	Uncharacterized protein C1orf185	C1orf185	CA185	Q5T7R7	C1orf185.10667.78.3
1	52485803	52521843	ENSG00000117862	O95881	TXNDC12	Thioredoxin domain-containing protein 12	TXNDC12	TXD12	O95881	TXNDC12.4815.25.3
1	53068044	53074723	ENSG00000116157	Q96SL4	GPX7	Glutathione peroxidase 7	GPX7	GPX7	Q96SL4	GPX7.8345.27.3
1	53711217	53793742	ENSG00000157193	Q14114	LRP8	Low-density lipoprotein receptor-related protein 8	LRP8	LRP8	Q14114	LRP8.3323.37.1
1	55074855	55089229	ENSG00000162391	Q8WW52	FAM151A	Protein FAM151A	FAM151A	F151A	Q8WW52	FAM151A.7856.51.3
1	57110995	57181008	ENSG00000162409	P54646	PRKAA2 PRKAB2 PRKAG1	AMP Kinase (alpha2beta2gamma1)	PRKAA2	AMPK a2b2g1	O43741,P54619,P54646	PRKAA2.PRKAB2.PRKAG1.5245.40.5
1	57320479	57383894	ENSG00000157131	P07357	C8A C8B C8G	Complement component C8	C8A	C8	P07357,P07358,P07360	C8A.C8B.C8G.2429.27.4
1	57394883	57431813	ENSG00000021852	P07358	C8A C8B C8G	Complement component C8	C8B	C8	P07357,P07358,P07360	C8A.C8B.C8G.2429.27.4
1	59041099	59043166	ENSG00000184292	P09758	TACSTD2	Tumor-associated calcium signal transducer 2	TACSTD2	GA733-1 protein	P09758	TACSTD2.14034.22.3
1	59041099	59043166	ENSG00000184292	P09758	TACSTD2	Tumor-associated calcium signal transducer 2	TACSTD2	GA733-1 protein	P09758	TACSTD2.2619.72.2
1	59120411	59165764	ENSG00000162601	Q5VVJ2	MYSM1	Histone H2A deubiquitinase MYSM1	MYSM1	MYSM1	Q5VVJ2	MYSM1.11536.9.3
1	59246465	59249785	ENSG00000177606	P05412	JUN	Transcription factor AP-1	JUN	c-Jun	P05412	JUN.10356.21.3
1	63063158	63071830	ENSG00000132855	Q9Y5C1	ANGPTL3	Angiopoietin-related protein 3	ANGPTL3	ANGL3	Q9Y5C1	ANGPTL3.3281.19.1
1	64058947	64125916	ENSG00000079739	P36871	PGM1	Phosphoglucomutase-1	PGM1	PGM1	P36871	PGM1.9173.21.3
1	64239693	64647181	ENSG00000185483	Q01973	ROR1	Tyrosine-protein kinase transmembrane receptor ROR1	ROR1	ROR1	Q01973	ROR1.2590.69.4
1	65886248	66107242	ENSG00000116678	P48357	LEPR	Leptin receptor	LEPR	sLeptin R	P48357	LEPR.5400.52.3
1	65886248	66107242	ENSG00000116678	P48357	LEPR	Leptin receptor	LEPR	LEPR	P48357	LEPR.9566.103.3
1	67263424	67266939	ENSG00000172410	Q9Y5Q6	INSL5	Insulin-like peptide INSL5	INSL5	INSL5	Q9Y5Q6	INSL5.10462.14.3
1	67632083	67725662	ENSG00000162594	Q5VWK5	IL23R	Interleukin-23 receptor	IL23R	IL-23 R	Q5VWK5	IL23R.5088.175.3
1	67773047	67862583	ENSG00000081985	Q99665	IL12RB2	Interleukin-12 receptor subunit beta-2	IL12RB2	IL-12 RB2	Q99665	IL12RB2.3815.14.1
1	68511645	68517314	ENSG00000162595	O95661	DIRAS3	GTP-binding protein Di-Ras3	DIRAS3	ARHI	O95661	DIRAS3.12406.119.3
1	71861623	72748417	ENSG00000172260	Q7Z3B1	NEGR1	Neuronal growth regulator 1	NEGR1	NEGR1	Q7Z3B1	NEGR1.13109.82.3
1	71861623	72748417	ENSG00000172260	Q7Z3B1	NEGR1	Neuronal growth regulator 1	NEGR1	NEGR1	Q7Z3B1	NEGR1.7050.5.3
1	76540404	77100286	ENSG00000184005	Q8NDV1	ST6GALNAC3	Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3	ST6GALNAC3	SIA7C	Q8NDV1	ST6GALNAC3.10626.116.3
1	76540404	77100286	ENSG00000184005	Q8NDV1	ST6GALNAC3	Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3	ST6GALNAC3	SIA7C	Q8NDV1	ST6GALNAC3.10705.14.3
1	77333126	77531396	ENSG00000117069	Q9BVH7	ST6GALNAC5	Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5	ST6GALNAC5	SIA7E	Q9BVH7	ST6GALNAC5.7927.16.3
1	84864215	84880701	ENSG00000137976	Q8WZ79	DNASE2B	Deoxyribonuclease-2-beta	DNASE2B	DNS2B	Q8WZ79	DNASE2B.6533.20.3
1	85015289	85040163	ENSG00000117151	Q01459	CTBS	Di-N-acetylchitobiase	CTBS	DIAC	Q01459	CTBS.6115.40.3
1	85731931	85742773	ENSG00000142867	O95999	BCL10	B-cell lymphoma/leukemia 10	BCL10	Bcl-10	O95999	BCL10.8768.4.3
1	86046444	86049645	ENSG00000142871	O00622	CYR61	Protein CYR61	CYR61	CYR61	O00622	CYR61.6264.9.3
1	89401456	89458636	ENSG00000137944	Q6YP21	CCBL2	Kynurenine--oxoglutarate transaminase 3	CCBL2	KAT3	Q6YP21	CCBL2.12682.5.3
1	89829617	89852020	ENSG00000183347	Q6ZN66	GBP6	Guanylate-binding protein 6	GBP6	GBP6	Q6ZN66	GBP6.7818.101.3
1	92145902	92371892	ENSG00000069702	Q03167	TGFBR3	Transforming growth factor beta receptor type 3	TGFBR3	TGF-b R III	Q03167	TGFBR3.3009.3.2
1	92414928	92479983	ENSG00000137948	Q58F21	BRDT	Bromodomain testis-specific protein	BRDT	BRDT	Q58F21	BRDT.12748.6.3
1	94027347	94312706	ENSG00000137936	O75815	BCAR3	Breast cancer anti-estrogen resistance protein 3	BCAR3	BCAR3	O75815	BCAR3.12634.79.3
1	94994781	95007356	ENSG00000117525	P13726	F3	Tissue Factor	F3	TF	P13726	F3.4931.59.1
1	99127236	99226056	ENSG00000162627	Q9UNH6	SNX7	Sorting nexin-7	SNX7	SNX7	Q9UNH6	SNX7.14245.195.3
1	101185298	101204601	ENSG00000162692	P19320	VCAM1	Vascular cell adhesion protein 1	VCAM1	VCAM-1	P19320	VCAM1.2967.8.1
1	101337943	101361554	ENSG00000162694	Q9UBQ6	EXTL2	Exostosin-like 2	EXTL2	EXTL2	Q9UBQ6	EXTL2.6528.95.3
1	104068313	104097861	ENSG00000185946	Q96LT9	RNPC3	RNA-binding protein 40	RNPC3	RBM40	Q96LT9	RNPC3.12814.17.3
1	104197912	104207173	ENSG00000237763	P04745	AMY1A	Alpha-amylase 1	AMY1A	Amylase, alpha 1A	P04745	AMY1A.7918.114.3
1	104230037	104239302	ENSG00000174876	P04745	AMY1A	Alpha-amylase 1	AMY1B	Amylase, alpha 1A	P04745	AMY1A.7918.114.3
1	104293028	104301312	ENSG00000187733	P04745	AMY1A	Alpha-amylase 1	AMY1C	Amylase, alpha 1A	P04745	AMY1A.7918.114.3
1	107682629	108026080	ENSG00000162631	Q9Y2I2	NTNG1	Netrin-G1	NTNG1	NTNG1	Q9Y2I2	NTNG1.5637.81.3
1	108113782	108507766	ENSG00000134215	Q9UKW4	VAV3	Guanine nucleotide exchange factor VAV3	VAV3	VAV3	Q9UKW4	VAV3.9830.109.3
1	109632425	109639556	ENSG00000215717	Q9NRX6	TMEM167B	Protein kish-B	TMEM167B	KISHB	Q9NRX6	TMEM167B.13421.17.3
1	109656301	109749401	ENSG00000116299	Q6UXG2	KIAA1324	UPF0577 protein KIAA1324	KIAA1324	K1324	Q6UXG2	KIAA1324.10637.50.3
1	109656301	109749401	ENSG00000116299	Q6UXG2	KIAA1324	UPF0577 protein KIAA1324	KIAA1324	K1324	Q6UXG2	KIAA1324.9097.5.3
1	109852192	109940573	ENSG00000134243	Q99523	SORT1	Sortilin	SORT1	SORT	Q99523	SORT1.11300.32.3
1	110046797	110052360	ENSG00000181754	Q86WK6	AMIGO1	Amphoterin-induced protein 1	AMIGO1	AMGO1	Q86WK6	AMIGO1.9979.13.3
1	110091233	110136975	ENSG00000065135	P08754	GNAI3	Guanine nucleotide-binding protein G(k) subunit alpha	GNAI3	GNAI3	P08754	GNAI3.12650.43.3
1	110230436	110251661	ENSG00000134184	P09488	GSTM1	Glutathione S-transferase Mu 1	GSTM1	GST M1-1	P09488	GSTM1.7239.9.3
1	110452864	110473614	ENSG00000184371	P09603	CSF1	Macrophage colony-stimulating factor 1	CSF1	CSF-1	P09603	CSF1.3738.54.4
1	110993822	110999976	ENSG00000143125	P58294	PROK1	Prokineticin-1	PROK1	EG-VEGF	P58294	PROK1.2247.20.11
1	111059839	111061797	ENSG00000143105	Q16322	KCNA10	Potassium voltage-gated channel subfamily A member 10	KCNA10	KCA10	Q16322	KCNA10.13042.7.3
1	111743393	111786062	ENSG00000064886	Q15782	CHI3L2	Chitinase-3-like protein 2	CHI3L2	CH3L2	Q15782	CHI3L2.9383.24.3
1	113263041	113269857	ENSG00000184599	Q7Z5A8	FAM19A3	Protein FAM19A3	FAM19A3	F19A3	Q7Z5A8	FAM19A3.7839.99.3
1	114522063	114524876	ENSG00000116774	Q9NRN5	OLFML3	Olfactomedin-like protein 3	OLFML3	OLFL3	Q9NRN5	OLFML3.8660.33.3
1	114522063	114524876	ENSG00000116774	Q9NRN5	OLFML3	Olfactomedin-like protein 3	OLFML3	OLFL3	Q9NRN5	OLFML3.8660.5.3
1	115259534	115301297	ENSG00000009307	O75534	CSDE1	Cold shock domain-containing protein E1	CSDE1	CSDE1	O75534	CSDE1.12735.39.3
1	115572415	115576941	ENSG00000134200	P01222	CGA TSHB	Thyroid Stimulating Hormone	TSHB	TSH	P01215,P01222	CGA.TSHB.3521.16.2
1	115828539	115880857	ENSG00000134259	P01138	NGF	beta-nerve growth factor	NGF	b-NGF	P01138	NGF.5801.72.3
1	116915290	116952883	ENSG00000163399	P05023	ATP1A1	Sodium/potassium-transporting ATPase subunit alpha-1	ATP1A1	AT1A1	P05023	ATP1A1.11993.227.3
1	117057157	117113661	ENSG00000116815	P19256	CD58	Lymphocyte function-associated antigen 3	CD58	sLFA-3	P19256	CD58.10938.13.3
1	117297007	117311850	ENSG00000116824	P06729	CD2	T-cell surface antigen CD2	CD2	CD2	P06729	CD2.7100.31.3
1	117452679	117532980	ENSG00000134247	Q9P2B2	PTGFRN	Prostaglandin F2 receptor negative regulator	PTGFRN	FPRP	Q9P2B2	PTGFRN.12727.7.3
1	117910071	118071494	ENSG00000198162	O60476	MAN1A2	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB	MAN1A2	MA1A2	O60476	MAN1A2.9077.10.3
1	120290619	120311528	ENSG00000134240	P54868	HMGCS2	Hydroxymethylglutaryl-CoA synthase, mitochondrial	HMGCS2	HMCS2	P54868	HMGCS2.13704.5.3
1	120336641	120354283	ENSG00000134193	Q9BYZ8	REG4	Regenerating islet-derived protein 4	REG4	REG4	Q9BYZ8	REG4.11102.22.3
1	145413095	145417545	ENSG00000168509	Q6ZVN8	HFE2	Hemojuvelin	HFE2	RGM-C	Q6ZVN8	HFE2.3332.57.1
