Sequence ID	Full Name	Target Name	UniProt ID	Entrez Gene Name
10552-88	NKG2-F type II integral membrane protein	NKG2F	O43908	KLRC4
10553-8	Torsin-1A-interacting protein 2	TOIP2	Q8NFQ8	TOR1AIP2
10554-23	Beta-galactosidase	BGAL	P16278	GLB1
10557-6	Testis-expressed sequence 29 protein	TEX29	Q8N6K0	TEX29
10558-26	Protocadherin-9	PCDH9	Q9HC56	PCDH9
10560-1	Integral membrane protein 2C:N-term	ITM2C:N-term	Q9NQX7	ITM2C
10561-5	Peptidoglycan recognition protein 3	PGRP-I-alpha	Q96LB9	PGLYRP3
10562-42	Neuropilin and tolloid-like protein 2	NETO2	Q8NC67	NETO2
10563-13	LysM and putative peptidoglycan-binding domain-containing protein 3	LYSM3	Q7Z3D4	LYSMD3
10565-19	SLIT and NTRK-like protein 3	SLIK3	O94933	SLITRK3
10569-28	Microfibrillar-associated protein 2	MFAP2	P55001	MFAP2
10571-14	Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	MGAT1	P26572	MGAT1
10572-65	Cystatin-8	CST8	O60676	CST8
10574-10	Beta-2-microglobulin	b2-Microglobulin	P61769	B2M
10575-31	Poly(U)-binding-splicing factor PUF60	PUF60	Q9UHX1	PUF60
10576-7	Plexin domain-containing protein 2:Extracellular domain	PXDC2:ECD	Q6UX71	PLXDC2
10580-14	Surfactant-associated protein 2	SFTA2	Q6UW10	SFTA2
10582-36	Protein O-mannose kinase	SG196	Q9H5K3	POMK
10583-1	Transmembrane protein 108	TM108	Q6UXF1	TMEM108
10584-7	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	NDUS4	O43181	NDUFS4
10588-39	Lactosylceramide alpha-2,3-sialyltransferase	SIAT9	Q9UNP4	ST3GAL5
10589-7	Retinoic acid early transcript 1L protein	RET1L	Q5VY80	RAET1L
10600-24	Calmegin	CLGN	O14967	CLGN
10603-1	Histatin-3	HIS3	P15516	HTN3
10605-22	Adipocyte plasma membrane-associated protein	APMAP	Q9HDC9	APMAP
10606-34	Torsin-1A-interacting protein 1:Perinuclear domain	TOIP1:Perinuclear	Q5JTV8	TOR1AIP1
10608-9	Histatin-1	HIS1	P15515	HTN1
10612-18	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3	PLOD3	O60568	PLOD3
10613-33	Protein CASC4	CASC4	Q6P4E1	GOLM2
10615-18	Myelin protein P0	MYP0	P25189	MPZ
10616-67	Podocalyxin-like protein 2	PDXL2	Q9NZ53	PODXL2
10618-190	Low-density lipoprotein receptor-related protein 2	megalin	P98164	LRP2
10620-21	Beta-microseminoprotein	PSP-94	P08118	MSMB
10621-26	Protein Largen	PRR16	Q569H4	PRR16
10623-19	Mucin-1:region 1	MUC1:region 1	P15941	MUC1
10624-45	Serine protease inhibitor Kazal-type 13	ISK13	Q1W4C9	SPINK13
10626-116	Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3	SIA7C	Q8NDV1	ST6GALNAC3
10627-87	Amyloid-like protein 2	APLP2	Q06481	APLP2
10630-5	Oxidoreductase HTATIP2	HTAI2	Q9BUP3	HTATIP2
10631-9	Membrane-associated progesterone receptor component 2	PGRC2	O15173	PGRMC2
10636-1	Cell surface glycoprotein CD200 receptor 1:Isoform 4, Cytoplasmic Domain	MO2R1:CD	Q8TD46	CD200R1
10637-50	UPF0577 protein KIAA1324:Extracellular domain	K1324:ECD	Q6UXG2	ELAPOR1
10638-1	TERF1-interacting nuclear factor 2	TINF2	Q9BSI4	TINF2
10643-16	Noelin-3:Isoform 2, C-term	NOE3:C-term	Q96PB7	OLFM3
10647-18	Activating signal cointegrator 1 complex subunit 1	ASCC1	Q8N9N2	ASCC1
10663-42	Insulin-induced gene 1 protein	INSI1	O15503	INSIG1
10666-7	N-acetylglucosamine-1-phosphotransferase subunit gamma	GNPTG	Q9UJJ9	GNPTG
10667-78	Uncharacterized protein C1orf185	CA185	Q5T7R7	C1orf185
10668-5	Syntaxin-4	STX4	Q12846	STX4
10670-26	Semaphorin-3E	Semaphorin 3E	O15041	SEMA3E
10672-75	Pulmonary surfactant-associated protein B	SP-B	P07988	SFTPB
10675-223	Thioredoxin-related transmembrane protein 2	TMX2	Q9Y320	TMX2
10677-9	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4	NDUB4	O95168	NDUFB4
10693-43	Killer cell lectin-like receptor subfamily G member 2:C-term	KLRG2:C-term	A4D1S0	KLRG2
10695-12	Protein WFDC10B	WF10B	Q8IUB3	WFDC10B
10699-52	Prolow-density lipoprotein receptor-related protein 1	LRP1	Q07954	LRP1
10700-10	Immunoglobulin superfamily member 11:Cytoplasmic domain	IGS11:CD	Q5DX21	IGSF11
10702-1	Collagen alpha-1(XXVIII) chain	COSA1	Q2UY09	COL28A1
10703-203	Sin3 histone deacetylase corepressor complex component SDS3	SDS3	Q9H7L9	SUDS3
10704-91	Lymphoid-restricted membrane protein	LRMP	Q12912	IRAG2
10705-14	Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3	SIA7C	Q8NDV1	ST6GALNAC3
10708-3	Progonadoliberin-2	GON2	O43555	GNRH2
10710-23	Zona pellucida-binding protein 2	ZPBP2	Q6X784	ZPBP2
10713-151	CMRF35-like molecule 7	CLM7	A8K4G0	CD300LB
10714-7	Angiotensin-converting enzyme	ACE	P12821	ACE
10716-35	26S proteasome non-ATPase regulatory subunit 5	PSMD5	Q16401	PSMD5
10721-76	Internal Use Only: Heat shock 70 kDa protein 1A	HSP 70	P0DMV8	HSPA1A
10722-13	Tyrosine-protein kinase SYK:Protein kinase domain	KSYK:Protein Kinase	P43405	SYK
10731-10	Heparan sulfate glucosamine 3-O-sulfotransferase 5	HS3S5	Q8IZT8	HS3ST5
10734-339	Galactose-3-O-sulfotransferase 2	G3ST2	Q9H3Q3	GAL3ST2
10737-96	Leukocyte elastase inhibitor	Serpin B1	P30740	SERPINB1
10738-11	Fibulin-5	fibulin 5	Q9UBX5	FBLN5
10741-22	Macrophage colony-stimulating factor 1	CSF-1	P09603	CSF1
10743-13	SLIT and NTRK-like protein 1	SLIK1	Q96PX8	SLITRK1
10746-24	Dickkopf-related protein 3	DKK3	Q9UBP4	DKK3
10748-216	Protocadherin beta-2	PCDB2	Q9Y5E7	PCDHB2
10749-18	Internal Use Only: Heat shock 70 kDa protein 1A	HSP 70	P0DMV8	HSPA1A
10752-8	Chromodomain Y-like protein 2	CDYL2	Q8N8U2	CDYL2
10753-31	Disintegrin and metalloproteinase domain-containing protein 7	ADAM7	Q9H2U9	ADAM7
10754-113	Prokineticin-2	Prokineticin-2	Q9HC23	PROK2
10756-34	Urocortin-3	UCN3	Q969E3	UCN3
10758-2	Keratocan	KERA	O60938	KERA
10760-107	Glutamate receptor 4	GRIA4	P48058	GRIA4
10761-5	Transmembrane emp24 domain-containing protein 2	TMED2	Q15363	TMED2
10762-2	Killer cell lectin-like receptor subfamily G member 2:N-term	KLRG2:N-term	A4D1S0	KLRG2
10767-52	G-protein coupled receptor 64	GPR64	Q8IZP9	ADGRG2
10772-21	Chondroitin sulfate N-acetylgalactosaminyltransferase 2	CGAT2	Q8N6G5	CSGALNACT2
10780-10	Ras-related protein Rab-3D	RAB3D	O95716	RAB3D
10781-19	C-type lectin domain family 4 member G	CLC4G	Q6UXB4	CLEC4G
10785-8	Leucine-rich repeat-containing protein 52	LRC52	Q8N7C0	LRRC52
10798-4	CMRF35-like molecule 2	CLM2	Q496F6	CD300E
10800-15	Serpin H1	Collagen-binding protein	P50454	SERPINH1
10801-11	Ephrin-A2	Ephrin-A2	O43921	EFNA2
10803-22	Internal Use Only: Heat shock 70 kDa protein 1A	HSP 70	P0DMV8	HSPA1A
10809-14	Killer cell lectin-like receptor subfamily B member 1	KLRB1	Q12918	KLRB1
10814-7	T-cell surface glycoprotein CD1a	CD1A	P06126	CD1A
10815-2	Intracellular hyaluronan-binding protein 4	HABP4	Q5JVS0	HABP4
10816-150	Paired immunoglobulin-like type 2 receptor alpha isoform FDF03-M14	PILRA isoform FDF03-M14	Q9UKJ1	PILRA
10817-26	TOMM20-like protein 1	TO20L	Q6UXN7	TOMM20L
10818-36	Sphingomyelin phosphodiesterase	ASM	P17405	SMPD1
10819-108	Fibulin-1	fibulin 1	P23142	FBLN1
10825-12	V-set and immunoglobulin domain-containing protein 10	VSI10	Q8N0Z9	VSIG10
10827-67	Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 3	LIGO3	P0C6S8	LINGO3
10830-5	EF-hand calcium-binding domain-containing protein 14:N-term	K0494:N-term	O75071	EFCAB14
10832-24	Beta-1,4-galactosyltransferase 6	B4GT6	Q9UBX8	B4GALT6
10833-64	Hedgehog-interacting protein	HHIP	Q96QV1	HHIP
10835-25	Alpha-1,4-N-acetylglucosaminyltransferase	A4GCT	Q9UNA3	A4GNT
10842-7	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 4	GCNT4	Q9P109	GCNT4
10847-1	Sialic acid-binding Ig-like lectin 15	SIG15	Q6ZMC9	SIGLEC15
10848-137	Butyrophilin-like protein 3	BTNL3	Q6UXE8	BTNL3
10851-77	Interleukin-27 subunit beta	IL27B	Q14213	EBI3
10852-114	Heterogeneous nuclear ribonucleoprotein D-like	HNRDL	O14979	HNRNPDL
10854-15	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 4	GCNT4	Q9P109	GCNT4
10855-55	Plexin-B2	PLXB2	O15031	PLXNB2
10866-60	Serine/threonine-protein phosphatase 4 regulatory subunit 3A	P4R3A	Q6IN85	PPP4R3A
10870-32	Spastin:Microtubule interacting and trafficking domain	Spastin:MIT	Q9UBP0	SPAST
10876-300	BRCA1-associated ATM activator 1	BRAT1	Q6PJG6	BRAT1
10880-38	Protein FAM163B	F163B	P0C2L3	FAM163B
10882-12	Desmocollin-1	Desmocollin-1	Q08554	DSC1
10885-36	Bombesin receptor-activated protein C6orf89	CF089	Q6UWU4	C6orf89
10889-2	Melanocortin-2 receptor accessory protein 2	MRAP2	Q96G30	MRAP2
10890-135	Lactase-like protein	LCTL	Q6UWM7	LCTL
10892-8	Oncostatin-M-specific receptor subunit beta	OSMR	Q99650	OSMR
10894-25	Secretagogin	Secretagogin	O76038	SCGN
10895-28	Transmembrane protease serine 11B	TM11B	Q86T26	TMPRSS11B
10900-272	Stathmin-2	STMN2	Q93045	STMN2
10902-53	Retroviral-like aspartic protease 1	APRV1	Q53RT3	ASPRV1
10903-50	Syntaxin-8	STX8	Q9UNK0	STX8
10907-116	Neurotrimin	NTRI	Q9P121	NTM
10908-2	Polypeptide N-acetylgalactosaminyltransferase 13	GLT13	Q8IUC8	GALNT13
10910-6	Carcinoembryonic antigen-related cell adhesion molecule 4	CEAM4	O75871	CEACAM4
10916-44	Secretory phospholipase A2 receptor	PLA2R	Q13018	PLA2R1
10917-40	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-T2	GBGT2	O14610	GNGT2
10924-258	Neuferricin	NEUFC	Q8WUJ1	CYB5D2
10933-107	Calcium-binding protein 8	CABP8	Q9BXU9	CALN1
10938-13	Lymphocyte function-associated antigen 3	sLFA-3	P19256	CD58
10939-16	Pleckstrin homology domain-containing family A member 4	PKHA4	Q9H4M7	PLEKHA4
10940-25	Sarcalumenin	SRCA	Q86TD4	SRL
10945-11	Syntaxin-6	Syntaxin-6	O43752	STX6
10948-14	Phospholipase D3	PLD3	Q8IV08	PLD3
10949-59	60S acidic ribosomal protein P2	RLA2	P05387	RPLP2
10953-14	C-type lectin domain family 2 member A	CLC2A	Q6UVW9	CLEC2A
10955-4	C-type lectin domain family 10 member A	CLC10	Q8IUN9	CLEC10A
10956-82	Glycine cleavage system H protein, mitochondrial	GCSH	P23434	GCSH
10959-125	BET1-like protein	BET1L	Q9NYM9	BET1L
10961-15	Retinoic acid receptor responder protein 3	TIG3	Q9UL19	PLAAT4
10966-1	Alpha-2-HS-glycoprotein	a2-HS-Glycoprotein	P02765	AHSG
10967-12	Prolactin	PRL	P01236	PRL
10970-3	Ecto-ADP-ribosyltransferase 3	NAR3	Q13508	ART3
10974-20	Serine protease inhibitor Kazal-type 7	ISK7	P58062	SPINK7
10975-59	Mucin-like protein 1	MUCL1	Q96DR8	MUCL1
10976-44	Mucin-1:region 3	MUC1:region 3	P15941	MUC1
10977-55	Unique cartilage matrix-associated protein	UCMA	Q8WVF2	UCMA
10978-39	Growth hormone variant	SOM2	P01242	GH2
10980-11	Acetylcholinesterase	ACES	P22303	ACHE
10981-56	Pro-neuregulin-3, membrane-bound isoform	NRG3	P56975	NRG3
10990-21	Leucine-rich repeat serine/threonine-protein kinase 2	LRRK2	Q5S007	LRRK2
11067-13	Osteocalcin	Osteocalcin	P02818	BGLAP
11071-1	Interleukin-5	IL-5	P05113	IL5
11081-1	Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic	GPDA	P21695	GPD1
11083-23	Gamma-enolase	NSE	P09104	ENO2
11089-7	Immunoglobulin A	IgA	P01877 | P01876	IGHA2 | IGHA1
11094-104	Galectin-10	LPPL	Q05315	CLC
11094-31	Galectin-10	LPPL	Q05315	CLC
11096-57	HemK methyltransferase family member 2	HEMK2	Q9Y5N5	N6AMT1
11098-1	Pyridoxal kinase	PDXK	O00764	PDXK
11101-18	Toll-like receptor 4	TLR4	O00206	TLR4
11102-22	Regenerating islet-derived protein 4	REG4	Q9BYZ8	REG4
11103-24	Heat shock protein beta-1	HSP 27	P04792	HSPB1
11104-13	Chitinase-3-like protein 1	YKL-40	P36222	CHI3L1
11105-171	Alpha-enolase	Alpha enolase	P06733	ENO1
11107-25	Teneurin-3	TEN3	Q9P273	TENM3
11109-56	Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1:Sushi 15-18	SVEP1:Sushi 15-18	Q4LDE5	SVEP1
11110-4	Transmembrane protein 119	TM119	Q4V9L6	TMEM119
11112-18	Protein kish-A	KISHA	Q8TBQ9	TMEM167A
11116-16	Uncharacterized protein C11orf87	CK087	Q6NUJ2	C11orf87
11117-2	Spermatogenesis-associated protein 20	SPT20	Q8TB22	SPATA20
11118-107	Ras-related protein Rab-17	RAB17	Q9H0T7	RAB17
11120-49	N-acetyltransferase 14	NAT14	Q8WUY8	NAT14
11121-56	Brorin	VWC2	Q2TAL6	VWC2
11122-97	Maspardin	SPG21	Q9NZD8	SPG21
11126-102	Triple functional domain protein	TRIO	O75962	TRIO
11128-29	Transmembrane protein 132C:Cytoplasmic domain	T132C:CD	Q8N3T6	TMEM132C
11129-66	Bone morphogenetic protein 15	BMP15	O95972	BMP15
11130-158	Voltage-dependent L-type calcium channel subunit beta-4	CACB4	O00305	CACNB4
11134-30	Peptide chain release factor 1-like, mitochondrial	RF1ML	Q9UGC7	MTRF1L
11135-5	39S ribosomal protein L55, mitochondrial	RM55	Q7Z7F7	MRPL55
11137-43	Cytokine receptor common subunit beta:Cytoplasmic domain	IL3RB:CD	P32927	CSF2RB
11138-16	Runt-related transcription factor 3	RUNX3	Q13761	RUNX3
11140-56	Collagen alpha-1(I) chain:C-term propeptide	CO1A1:C-term propeptide	P02452	COL1A1
11142-11	Angiopoietin-related protein 1:C-Term, Fibrinogen domian	ANGL1:C-term	O95841	ANGPTL1
11143-32	Noelin-3:Isoform 2, N-term	NOE3:N-term	Q96PB7	OLFM3
11144-10	Beta-defensin 116	DB116	Q30KQ4	DEFB116
11145-72	UPF0606 protein KIAA1549L	K154L	Q6ZVL6	KIAA1549L
11146-4	T-box transcription factor TBX22	TBX22	Q9Y458	TBX22
11147-17	Trem-like transcript 1 protein:immunoreceptor tyrosine-based inhibition motif	TRML1:ITIM	Q86YW5	TREML1
11149-3	Toll-like receptor 1:Cytoplasmic domain	TLR1:CD	Q15399	TLR1
11150-3	Collagen alpha-1(VI) chain	Collagen a1(VI)	P12109	COL6A1
11152-46	Kallikrein-13	kallikrein 13	Q9UKR3	KLK13
11154-3	Nuclear factor erythroid 2-related factor 1	NF2L1	Q14494	NFE2L1
11155-16	Collagen alpha-5(VI) chain	CO6A5	A8TX70	COL6A5
11157-35	Internal Use Only: Heat shock 70 kDa protein 1A	HSP 70	P0DMV8	HSPA1A
11158-40	Bicaudal D-related protein 1	BICR1	Q6ZP65	BICDL1
11159-14	Mitochondrial ubiquitin ligase activator of NFKB 1:Cytoplasmic domain	MUL1:CD	Q969V5	MUL1
11160-56	RING finger protein 122	RN122	Q9H9V4	RNF122
11161-5	Spartin	SPG20	Q8N0X7	SPART
11162-37	Equatorin	EQTN	Q9NQ60	EQTN
11163-7	Protein FAM162B	F162B	Q5T6X4	FAM162B
11164-7	Teneurin-2	TEN2	Q9NT68	TENM2
11167-6	Myotubularin-related protein 1	MTMR1	Q13613	MTMR1
11168-1	Multiple epidermal growth factor-like domains protein 10	MEG10	Q96KG7	MEGF10
11168-3	Multiple epidermal growth factor-like domains protein 10	MEG10	Q96KG7	MEGF10
11171-25	Filamin-A:Calponin Homology 2	filamin A:CH2	P21333	FLNA
11173-29	Allergin-1	MILR1	Q7Z6M3	MILR1
11173-32	Allergin-1	MILR1	Q7Z6M3	MILR1
11174-8	Thrombospondin type-1 domain-containing protein 7A:Thrombospondin type-1 domain 6	THS7A:TSP type-1 domain 6	Q9UPZ6	THSD7A
11175-45	Lysophosphatidylcholine acyltransferase 2	PCAT2	Q7L5N7	LPCAT2
11177-16	Keratin, type II cytoskeletal 5	K2C5	P13647	KRT5
