AptamerId	SomaId	Target	TargetFullName	UniProt	EntrezGeneID	EntrezGeneSymbol
9178-30	SL004297	NEUREGULIN-1	Neuregulin-1	Q02297	3084	NRG1
14139-16	SL007828	NRG4	Neuregulin-4	Q8WWG1	145957	NRG4
10339-48	SL001731	NSE	Gamma-enolase	P09104	2026	ENO2
10361-25	SL014684	OAS1	2'-5'-oligoadenylate synthase 1	P00973	4938	OAS1
11067-13	SL001791	Osteocalcin	Osteocalcin	P02818	632	BGLAP
13113-7	SL002688	Osteopontin	Osteopontin	P10451	6696	SPP1
5253-1	SL011400	PDE1A	Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A	P54750	5136	PDE1A
10366-11	SL001728	PDGFRA	Platelet-derived growth factor receptor alpha	P16234	5156	PDGFRA
11098-1	SL007953	PDXK	Pyridoxal kinase	O00764	8566	PDXK
9211-19	SL003066	PEDF	Pigment epithelium-derived factor	P36955	5176	SERPINF1
5915-58	SL012148	PEX5	Peroxisomal targeting signal 1 receptor	P50542	5830	PEX5
9173-21	SL008094	PGM1	Phosphoglucomutase-1	P36871	5236	PGM1
14114-18	SL019019	PIANP	PILR alpha-associated neural protein	Q8IYJ0	196500	PIANP
10342-55	SL019096	PIAS4	E3 SUMO-protein ligase PIAS4	Q8N2W9	51588	PIAS4
5360-9	SL003722	PKB beta	RAC-beta serine/threonine-protein kinase	P31751	208	AKT2
9216-100	SL009948	PLXB2	Plexin-B2	O15031	23654	PLXNB2
13095-51	SL005357	PSP	Lithostathine-1-alpha	P05451	5967	REG1A
6641-60	SL017289	PolyUbiquitin K48	PolyUbiquitin K48-linked	P0CG47	7314	UBB
6647-55	SL017290	PolyUbiquitin K63	PolyUbiquitin K63-linked	P0CG48	7316	UBC
9207-60	SL018887	QORL1	Quinone oxidoreductase-like protein 1	O95825	9946	CRYZL1
5271-5	SL007310	RAC3	Ras-related C3 botulinum toxin substrate 3	P60763	5881	RAC3
11102-22	SL012561	REG4	Regenerating islet-derived protein 4	Q9BYZ8	83998	REG4
14120-2	SL018629	RNF43	E3 ubiquitin-protein ligase RNF43	Q68DV7	54894	RNF43
8470-213	SL017528	RNase H1	Ribonuclease H1	O60930	246243	RNASEH1
5484-63	SL011588	RS3A	40S ribosomal protein S3a	P61247	6189	RPS3A
13094-75	SL018509	RSPO3	R-spondin-3	Q9BXY4	84870	RSPO3
8464-31	SL012517	RSPO4	R-spondin-4	Q2I0M5	343637	RSPO4
14135-3	SL020172	RXFP1	Relaxin receptor 1	Q9HBX9	NA	RXFP1
5852-6	SL004783	S100A12	Protein S100-A12	P80511	6283	S100A12
14116-129	SL004821	S100A4	Protein S100-A4	P26447	6275	S100A4
13090-17	SL004827	S100A6	Protein S100-A6	P06703	6277	S100A6
5921-58	SL004829	S100A7	Protein S100-A7	P31151	6278	S100A7
13093-6	SL005430	SECTM1	Secreted and transmembrane protein 1	Q8WVN6	6398	SECTM1
13132-14	SL008522	SEM5A	Semaphorin-5A	Q13591	9037	SEMA5A
5121-3	SL014248	SEM6B	Semaphorin-6B	Q9H3T3	10501	SEMA6B
5430-66	SL008967	SHPS1	Tyrosine-protein phosphatase non-receptor type substrate 1	P78324	140885	SIRPA
3643-90	SL008760	SLIK1	SLIT and NTRK-like protein 1	Q96PX8	114798	SLITRK1
10364-6	SL004101	SMAD2	Mothers against decapentaplegic homolog 2	Q15796	4087	SMAD2
10363-13	SL004097	SMAD3	Mothers against decapentaplegic homolog 3	P84022	4088	SMAD3
13118-5	SL011888	SMOC1	SPARC-related modular calcium-binding protein 1	Q9H4F8	64093	SMOC1
13105-7	SL007311	SNP25	Synaptosomal-associated protein 25	P60880	6616	SNAP25
8463-2	SL003672	SOD3	Extracellular superoxide dismutase [Cu-Zn]	P08294	6649	SOD3
13101-60	SL007631	SOST	Sclerostin	Q9BQB4	50964	SOST
10370-21	SL004396	STAT1	Signal transducer and activator of transcription 1-alpha/beta	P42224	6772	STAT1
10346-5	SL007221	STAT3	Signal transducer and activator of transcription 3	P40763	6774	STAT3
10372-18	SL007229	STAT6	Signal transducer and activator of transcription 6	P42226	6778	STAT6
9169-14	SL018938	SUMO3	Small ubiquitin-related modifier 3	P55854	6613	SUMO3
9185-15	SL008591	TFF1	Trefoil factor 1	P04155	7031	TFF1
11101-18	SL004489	TLR4	Toll-like receptor 4	O00206	7099	TLR4
5534-49	SL004157	TRAIL R2	Tumor necrosis factor receptor superfamily member 10B	O14763	8795	TNFRSF10B
14121-24	SL004159	TRAIL R4	Tumor necrosis factor receptor superfamily member 10D	Q9UBN6	8793	TNFRSF10D
5947-90	SL000598	Tpo	Thrombopoietin	P40225	7066	THPO
9201-13	SL004811	Transgelin-2	Transgelin-2	P37802	8407	TAGLN2
9191-8	SL002602	Trefoil factor 2	Trefoil factor 2	Q03403	7032	TFF2
7660-21	SL003646	Tropomyosin 4	Tropomyosin alpha-4 chain	P67936	7171	TPM4
5315-22	SL000052	Troponin T	Troponin T, cardiac muscle	P45379	7139	TNNT2
9199-6	SL018946	UB2G2	Ubiquitin-conjugating enzyme E2 G2	P60604	7327	UBE2G2
9215-117	SL018947	UBP25	Ubiquitin carboxyl-terminal hydrolase 25	Q9UHP3	29761	USP25
14151-4	SL015510	UCRP	Ubiquitin-like protein ISG15	P05161	9636	ISG15
5275-28	SL014488	VAV	Proto-oncogene vav	P15498	7409	VAV1
13098-93	SL003320	VEGF-D	Vascular endothelial growth factor D	O43915	2277	FIGF
13125-45	SL000616	Vitronectin	Vitronectin	P04004	7448	VTN
5927-4	SL004690	WISP-3	WNT1-inducible-signaling pathway protein 3	O95389	8838	WISP3
5493-17	SL010524	WNK3	Serine/threonine-protein kinase WNK3	Q9BYP7	65267	WNK3
11104-13	SL003340	YKL-40	Chitinase-3-like protein 1	P36222	1116	CHI3L1
14122-132	SL018971	ZNRF3	E3 ubiquitin-protein ligase ZNRF3	Q9ULT6	84133	ZNRF3
8458-111	SL005266	a-Synuclein	Alpha-synuclein	P37840	6622	SNCA
5864-10	SL004910	aldolase A	Fructose-bisphosphate aldolase A	P04075	226	ALDOA
10356-21	SL000455	c-Jun	Transcription factor AP-1	P05412	3725	JUN
10362-35	SL002565	c-Myc	Myc proto-oncogene protein	P01106	4609	MYC
5885-55	SL004924	eIF-4H	Eukaryotic translation initiation factor 4H	Q15056	7458	EIF4H
8447-11	SL004269	ghrelin	Appetite-regulating hormone	Q9UBU3	51738	GHRL
6152-111	SL000074	p53	Cellular tumor antigen p53	P04637	7157	TP53
13119-26	SL004467	protein Z inhibitor	Protein Z-dependent protease inhibitor	Q9UK55	51156	SERPINA10
9182-3	SL004733	sLRP1	Low-density lipoprotein receptor-related protein 1, soluble	Q07954	4035	LRP1
3583-54	SL005392	Arylsulfatase A	Arylsulfatase A	P15289	410	ARSA
3587-53	SL007056	BMP10	Bone morphogenetic protein 10	O95393	27302	BMP10
3606-2	SL004120	Discoidin domain receptor 2	Discoidin domain-containing receptor 2	Q16832	4921	DDR2
3633-70	SL008193	NID2	Nidogen-2	Q14112	22795	NID2
3309-2	SL010459	FCG2A	Low affinity immunoglobulin gamma Fc region receptor II-a	P12318	2212	FCGR2A
3310-62	SL010460	FCG2B	Low affinity immunoglobulin gamma Fc region receptor II-b	P31994	2213	FCGR2B
2765-4	SL021043	GDF-11/8	Growth/differentiation factor 11/8	O95390 O14793	NA	GDF11 MSTN
4179-57	SL017611	14-3-3	14-3-3 protein family	P31946 P62258 P61981 Q04917 P27348 P63104 P31947	7529 7531 7532 7533 10971 7534 2810	YWHAB YWHAE YWHAG YWHAH YWHAQ YWHAZ SFN
4708-3	SL004253	17-beta-HSD 1	Estradiol 17-beta-dehydrogenase 1	P14061	3292	HSD17B1
4693-72	SL008085	3HIDH	3-hydroxyisobutyrate dehydrogenase, mitochondrial	P31937	11112	HIBADH
2598-9	SL004126	4-1BB	Tumor necrosis factor receptor superfamily member 9	Q07011	3604	TNFRSF9
2599-51	SL003735	4-1BB ligand	Tumor necrosis factor ligand superfamily member 9	P41273	8744	TNFSF9
4957-1	SL004605	40S ribosomal protein SA	40S ribosomal protein SA	P08865	3921	RPSA
4706-17	SL010830	41	Protein 4.1	P11171	2035	EPB41
4184-43	SL008378	4EBP2	Eukaryotic translation initiation factor 4E-binding protein 2	Q13542	1979	EIF4EBP2
4187-49	SL000247	6-Phosphogluconate dehydrogenase	6-phosphogluconate dehydrogenase, decarboxylating	P52209	5226	PGD
2516-57	SL003193	6Ckine	C-C motif chemokine 21	O00585	6366	CCL21
3341-33	SL006892	ABL1	Tyrosine-protein kinase ABL1	P00519	25	ABL1
5261-13	SL010488	ABL2	Abelson tyrosine-protein kinase 2	P42684	27	ABL2
2805-6	SL004415	ACE2	Angiotensin-converting enzyme 2	Q9BYF1	59272	ACE2
4890-10	SL003461	ACTH	Corticotropin	P01189	5443	POMC
3795-6	SL004642	ADAM 9	Disintegrin and metalloproteinase domain-containing protein 9	Q13443	8754	ADAM9
4420-7	SL009988	ADAM12	Disintegrin and metalloproteinase domain-containing protein 12	O43184	8038	ADAM12
2809-25	SL004625	ADAMTS-4	A disintegrin and metalloproteinase with thrombospondin motifs 4	O75173	9507	ADAMTS4
3168-8	SL004626	ADAMTS-5	A disintegrin and metalloproteinase with thrombospondin motifs 5	Q9UNA0	11096	ADAMTS5
4959-2	SL004925	AGR2	Anterior gradient protein 2 homolog	O95994	10551	AGR2
2849-49	SL004768	AIF1	Allograft inflammatory factor 1	P55008	199	AIF1
3839-60	SL011629	AIP	AH receptor-interacting protein	O00170	9049	AIP
4192-10	SL008039	AK1A1	Alcohol dehydrogenase [NADP(+)]	P14550	10327	AKR1A1
5451-1	SL003166	ALCAM	CD166 antigen	Q13740	214	ALCAM
2969-11	SL004851	ALK-1	Serine/threonine-protein kinase receptor R3	P37023	94	ACVRL1
3709-4	SL000617	ALT	Alanine aminotransferase 1	P24298	2875	GPT
4322-28	SL013489	AMNLS	Protein amnionless	Q9BXJ7	81693	AMN
5183-53	SL016548	AMPK a1b1g1	AMP Kinase (alpha1beta1gamma1)	Q13131 Q9Y478 P54619	5562 5564 5571	PRKAA1 PRKAB1 PRKAG1
5245-40	SL016549	AMPK a2b2g1	AMP Kinase (alpha2beta2gamma1)	P54646 O43741 P54619	5563 5565 5571	PRKAA2 PRKAB2 PRKAG1
3170-6	SL007261	AMPM2	Methionine aminopeptidase 2	P50579	10988	METAP2
4194-26	SL011769	AN32B	Acidic leucine-rich nuclear phosphoprotein 32 family member B	Q92688	10541	ANP32B
3281-19	SL006803	ANGL3	Angiopoietin-related protein 3	Q9Y5C1	27329	ANGPTL3
3796-79	SL007642	ANGL4	Angiopoietin-related protein 4	Q9BY76	51129	ANGPTL4
5443-62	SL002505	ANP	Atrial natriuretic factor	P01160	4878	NPPA
2970-60	SL000136	AREG	Amphiregulin	P15514	374	AREG
3875-62	SL011549	ARI3A	AT-rich interactive domain-containing protein 3A	Q99856	1820	ARID3A
4962-52	SL012538	ARMEL	Cerebral dopamine neurotrophic factor	Q49AH0	441549	CDNF
4963-19	SL011708	ARP19	cAMP-regulated phosphoprotein 19	P56211	10776	ARPP19
3172-28	SL008956	ARSB	Arylsulfatase B	P15848	411	ARSB
2813-11	SL006924	ART	Agouti-related protein	O00253	181	AGRP
4964-67	SL007729	ARTS1	Endoplasmic reticulum aminopeptidase 1	Q9NZ08	51752	ERAP1
3212-30	SL010375	ASAH2	Neutral ceramidase	Q9NR71	56624	ASAH2
3173-49	SL008611	ASAHL	N-acylethanolamine-hydrolyzing acid amidase	Q02083	27163	NAAA
4771-10	SL012754	ASM3A	Acid sphingomyelinase-like phosphodiesterase 3a	Q92484	10924	SMPDL3A
4965-27	SL005675	ATP synthase beta chain	ATP synthase subunit beta, mitochondrial	P06576	506	ATP5B
3174-2	SL008421	ATS1	A disintegrin and metalloproteinase with thrombospondin motifs 1	Q9UHI8	9510	ADAMTS1
3175-51	SL006610	ATS13	A disintegrin and metalloproteinase with thrombospondin motifs 13	Q76LX8	11093	ADAMTS13
4533-76	SL012740	ATS15	A disintegrin and metalloproteinase with thrombospondin motifs 15	Q8TE58	170689	ADAMTS15
3346-72	SL010520	AURKB	Aurora kinase B	Q96GD4	9212	AURKB
3758-68	SL003974	Activated Protein C	Activated Protein C	P04070	5624	PROC
2748-3	SL001938	Activin A	Inhibin beta A chain	P08476	3624	INHBA
2806-49	SL004128	Activin RIB	Activin receptor type-1B	P36896	91	ACVR1B
3554-24	SL004258	Adiponectin	Adiponectin	Q15848	9370	ADIPOQ
4763-31	SL004742	Afamin	Afamin	P43652	173	AFM
4188-1	SL003658	Aflatoxin B1 aldehyde reductase	Aflatoxin B1 aldehyde reductase member 2	O43488	8574	AKR7A2
3280-49	SL004661	Aggrecan	Aggrecan core protein	P16112	176	ACAN
3707-12	SL000254	Albumin	Serum albumin	P02768	213	ALB
2795-23	SL002077	Alkaline phosphatase, bone	Alkaline phosphatase, tissue-nonspecific isozyme	P05186	249	ALPL
3343-1	SL005574	Aminoacylase-1	Aminoacylase-1	Q03154	95	ACY1
4874-3	SL000003	Angiogenin	Angiogenin	P03950	283	ANG
2811-27	SL001995	Angiopoietin-1	Angiopoietin-1	Q15389	284	ANGPT1
2602-2	SL001996	Angiopoietin-2	Angiopoietin-2	O15123	285	ANGPT2
2500-2	SL004643	Angiopoietin-4	Angiopoietin-4	Q9Y264	51378	ANGPT4
3710-49	SL000268	Angiostatin	Angiostatin	P00747	5340	PLG
3484-60	SL000271	Angiotensinogen	Angiotensinogen	P01019	183	AGT
3344-60	SL000272	Antithrombin III	Antithrombin-III	P01008	462	SERPINC1
2750-3	SL000019	Apo A-I	Apolipoprotein A-I	P02647	335	APOA1
2797-56	SL000020	Apo B	Apolipoprotein B	P04114	338	APOB
4712-28	SL005361	Apo D	Apolipoprotein D	P05090	347	APOD
2418-55	SL000276	Apo E	Apolipoprotein E	P02649	348	APOE
5312-49	SL000277	Apo E2	Apolipoprotein E (isoform E2)	P02649	348	APOE
2937-10	SL004668	Apo E3	Apolipoprotein E (isoform E3)	P02649	348	APOE
2938-55	SL004669	Apo E4	Apolipoprotein E (isoform E4)	P02649	348	APOE
2939-10	SL004670	Artemin	Artemin	Q5T4W7	9048	ARTN
3091-70	SL004771	Aurora kinase A	Aurora kinase A	O14965	6790	AURKA
2751-16	SL004589	Azurocidin	Azurocidin	P20160	566	AZU1
2603-61	SL003738	B7	T-lymphocyte activation antigen CD80	P33681	941	CD80
5337-64	SL004131	B7-2	T-lymphocyte activation antigen CD86	P42081	942	CD86
5060-62	SL004852	B7-H1	Programmed cell death 1 ligand 1	Q9NZQ7	29126	CD274
5061-27	SL004853	B7-H2	ICOS ligand	O75144	23308	ICOSLG
3059-50	SL004327	BAFF	Tumor necrosis factor ligand superfamily member 13B	Q9Y275	10673	TNFSF13B
5383-14	SL004671	BAFF Receptor	Tumor necrosis factor receptor superfamily member 13C	Q96RJ3	115650	TNFRSF13C
3347-9	SL002792	BARK1	beta-adrenergic receptor kinase 1	P25098	156	ADRBK1
3585-54	SL009341	BASI	Basigin	P35613	682	BSG
2816-50	SL001902	BCAM	Basal Cell Adhesion Molecule	P50895	4059	BCAM
5262-57	SL014470	BCAR3	Breast cancer anti-estrogen resistance protein 3	O75815	8412	BCAR3
4423-77	SL003674	BCL2-like 1 protein	Bcl-2-like protein 1	Q07817	598	BCL2L1
2665-26	SL004672	BCMA	Tumor necrosis factor receptor superfamily member 17	Q02223	608	TNFRSF17
2421-7	SL003951	BDNF	Brain-derived neurotrophic factor	P23560	627	BDNF
3413-50	SL003703	BFL1	Bcl-2-related protein A1	Q16548	597	BCL2A1
3283-21	SL006544	BGH3	Transforming growth factor-beta-induced protein ig-h3	Q15582	7045	TGFBI
3284-75	SL007804	BGN	Biglycan	P21810	633	BGN
3487-32	SL003167	BLC	C-X-C motif chemokine 13	O43927	10563	CXCL13
4862-63	SL004133	BMP RII	Bone morphogenetic protein receptor type-2	Q13873	659	BMPR2
3348-49	SL003994	BMP-1	Bone morphogenetic protein 1	P13497	649	BMP1
2752-62	SL004329	BMP-14	Growth/differentiation factor 5	P43026	8200	GDF5
2972-57	SL004078	BMP-7	Bone morphogenetic protein 7	P18075	655	BMP7
3654-27	SL007531	BMPER	BMP-binding endothelial regulator protein	Q8N8U9	168667	BMPER
4859-6	SL004080	BMPR1A	Bone morphogenetic protein receptor type-1A	P36894	657	BMPR1A
3414-40	SL006374	BMX	Cytoplasmic tyrosine-protein kinase BMX	P51813	660	BMX
3723-1	SL000306	BNP-32	Brain natriuretic peptide 32	P16860	4879	NPPB
4328-2	SL013490	BOC	Brother of CDO	Q9BWV1	91653	BOC
4126-22	SL004511	BPI	Bactericidal permeability-increasing protein	P17213	671	BPI
5384-67	SL016130	BRF-1	Transcription factor IIIB 90 kDa subunit	Q92994	2972	BRF1
3415-61	SL004660	BSP	Bone sialoprotein 2	P21815	3381	IBSP
4534-10	SL012822	BSSP4	Brain-specific serine protease 4	Q9GZN4	64063	PRSS22
4535-50	SL008644	BST1	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2	Q10588	683	BST1
3416-2	SL010521	BTK	Tyrosine-protein kinase BTK	Q06187	695	BTK
3412-7	SL000104	Bcl-2	Apoptosis regulator Bcl-2	P10415	596	BCL2
2666-53	SL004081	Bone proteoglycan II	Decorin	P07585	1634	DCN
4479-14	SL000308	C1-Esterase Inhibitor	Plasma protease C1 inhibitor	P05155	710	SERPING1
4967-1	SL008177	C1QBP	Complement component 1 Q subcomponent-binding protein, mitochondrial	Q07021	708	C1QBP
2753-2	SL000309	C1q	Complement C1q subcomponent	P02745 P02746 P02747	712 713 714	C1QA C1QB C1QC
3285-23	SL000310	C1r	Complement C1r subcomponent	P00736	715	C1R
3590-8	SL000311	C1s	Complement C1s subcomponent	P09871	716	C1S
3186-2	SL002525	C2	Complement C2	P06681	717	C2
2754-50	SL000312	C3	Complement C3	P01024	718	C3
