"seqid"	"somaid"	"target"	"targetfull"	"chr"	"start"	"end"	"entrezgenesymbol"	"entrezgeneid"	"uniprotid"	"pathways_wiki"	"pathways_pid"	"pathways_uni"	"pathways_reactome"	"pathways_studio"	"ipa_drugs"	"ipa_applications"	"uniprotcomment"	"locus"	"network"
"2381-52_4"	"SL000319"	"C5"	"Complement C5"	"9"	"120952335"	"121050276"	"C5"	"727"	"P01031"	"Complement Activation, Classical Pathway"	""	""	"Activation of C3 and C5|G alpha (i) signalling events|Peptide ligand-binding receptors|Regulation of Complement cascade|Terminal pathway of complement"	"Alternative Complement Pathway|Classical Complement Pathway|Lectin-Induced Complement Pathway"	"eculizumab|IgG"	""	"Activation of C5 by a C5 convertase initiates the spontaneous assembly of the late complement components, C5-C9, into the membrane attack complex. C5b has a transient binding site for C6. The C5b-C6 complex is the foundation upon which the lytic complex is assembled."	""	"TRUE"
"2418-55_9"	"SL000276"	"Apo E"	"Apolipoprotein E"	"19"	"44905754"	"44909393"	"APOE"	"348"	"P02649"	"Alzheimers Disease|Statin Pathway|Vitamin B12 Metabolism"	""	""	"Chylomicron-mediated lipid transport|HDL-mediated lipid transport|Retinoid metabolism and transport|Scavenging by Class A Receptors"	""	""	"diagnosis|efficacy|prognosis|unspecified application"	"Mediates the binding, internalization, and catabolism of lipoprotein particles. It can serve as a ligand for the LDL (apo B/E) receptor and for the specific apo-E receptor (chylomicron remnant) of hepatic tissues."	""	"TRUE"
"2421-7_3"	"SL003951"	"BDNF"	"Brain-derived neurotrophic factor"	"11"	"27654893"	"27722058"	"BDNF"	"627"	"P23560"	"FSH signaling pathway|Lymphocyte TarBase|MAPK signaling pathway"	"Neurotrophic factor-mediated Trk receptor signaling|Posttranslational regulation of adherens junction stability and dissassembly|SHP2 signaling|p75(NTR)-mediated signaling"	""	""	"GFs/TNF -> ion channels|NGFR -> AP-1/CEBPB/CREB/ELK-SRF/TP53 signaling|NGFR -> MEF signaling|NGFR -> NF-kB signaling|NMDA receptors -> Ca2+/CREB activation/PGE2 synthesis|NTRK -> AP-1/CREB/ELK-SRF/MYC/SMAD3/TP53 signaling|NTRK -> FOXO/MYCN signaling|NTRK1/2/3 -> acetylcholine production|Nociception-related DRD2 expression targets|PTGER2/3 -> inflammation-related expression targets|Regulation of calcium flux|Summarized nociception-related expression targets"	""	"efficacy|response to therapy"	"During development, promotes the survival and differentiation of selected neuronal populations of the peripheral and central nervous systems. Participates in axonal growth, pathfinding and in the modulation of dendritic growth and morphology. Major regulator of synaptic transmission and plasticity at adult synapses in many regions of the CNS. The versatility of BDNF is emphasized by its contribution to a range of adaptive neuronal responses including long-term potentiation (LTP), long-term depression (LTD), certain forms of short-term synaptic plasticity, as well as homeostatic regulation of intrinsic neuronal excitability."	""	"TRUE"
"2424-69_4"	"SL003060"	"bFGF-R"	"Fibroblast growth factor receptor 1"	"8"	"38411138"	"38468834"	"FGFR1"	"2260"	"P11362"	"NA"	"NA"	"NA"	"NA"	"NA"	"pazopanib|nintedanib|regorafenib|bortezomib/sorafenib|dexamethasone/lenalidomide/sorafenib|sorafenib"	"diagnosis|prognosis|unspecified application"	"Tyrosine-protein kinase that acts as cell-surface receptor for fibroblast growth factors and plays an essential role in the regulation of embryonic development, cell proliferation, differentiation and migration. Required for normal mesoderm patterning and correct axial organization during embryonic development, normal skeletogenesis and normal development of the gonadotropin-releasing hormone (GnRH) neuronal system. Phosphorylates PLCG1, FRS2, GAB1 and SHB. Ligand binding leads to the activation of several signaling cascades. Activation of PLCG1 leads to the production of the cellular signaling molecules diacylglycerol and inositol 1,4,5-trisphosphate. Phosphorylation of FRS2 triggers recruitment of GRB2, GAB1, PIK3R1 and SOS1, and mediates activation of RAS, MAPK1/ERK2, MAPK3/ERK1 and the MAP kinase signaling pathway, as well as of the AKT1 signaling pathway. Promotes phosphorylation of SHC1, STAT1 and PTPN11/SHP2. In the nucleus, enhances RPS6KA1 and CREB1 activity and contributes to the regulation of transcription. FGFR1 signaling is down-regulated by IL17RD/SEF, and by FGFR1 ubiquitination, internalization and degradation."	""	"TRUE"
"2429-27_4"	"SL000324"	"C8"	"Complement component C8"	"1|9"	"56854806|136945246"	"56966140|136946974"	"C8A|C8B|C8G"	"731|732|733"	"P07357|P07358|P07360"	"Complement Activation, Classical Pathway"	""	""	"Regulation of Complement cascade|Terminal pathway of complement"	""	""	""	"Constituent of the membrane attack complex (MAC) that plays a key role in the innate and adaptive immune response by forming pores in the plasma membrane of target cells. C8A inserts into the target membrane, but does not form pores by itself.|Constituent of the membrane attack complex (MAC) that plays a key role in the innate and adaptive immune response by forming pores in the plasma membrane of target cells.|C8 is a constituent of the membrane attack complex. C8 binds to the C5B-7 complex, forming the C5B-8 complex. C5-B8 binds C9 and acts as a catalyst in the polymerization of C9. The gamma subunit seems to be able to bind retinol."	"365"	"TRUE"
"2431-17_3"	"SL000345"	"Cathepsin G"	"Cathepsin G"	"14"	"24573522"	"24576260"	"CTSG"	"1511"	"P08311"	"ACE Inhibitor Pathway"	"Urokinase-type plasminogen activator (uPA) and uPAR-mediated signaling"	""	"Activation of Matrix Metalloproteinases|Degradation of the extracellular matrix|Metabolism of Angiotensinogen to Angiotensins|Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)"	""	""	"response to therapy"	"Serine protease with trypsin- and chymotrypsin-like specificity. Cleaves complement C3. Has antibacterial activity against the Gram-negative bacterium P.aeruginosa, antibacterial activity is inhibited by LPS from P.aeruginosa, Z-Gly-Leu-Phe-CH2Cl and phenylmethylsulfonyl fluoride."	""	"TRUE"
"2436-49_4"	"SL004016"	"CXCL16, soluble"	"C-X-C motif chemokine 16"	"17"	"4733526"	"4739922"	"CXCL16"	"58191"	"Q9H2A7"	""	""	""	"Chemokine receptors bind chemokines|G alpha (i) signalling events"	""	""	"diagnosis|disease progression|unspecified application"	"Acts as a scavenger receptor on macrophages, which specifically binds to OxLDL (oxidized low density lipoprotein), suggesting that it may be involved in pathophysiology such as atherogenesis (By similarity). Induces a strong chemotactic response. Induces calcium mobilization. Binds to CXCR6/Bonzo."	""	"TRUE"
"2441-2_4"	"SL004333"	"FGF-10"	"Fibroblast growth factor 10"	"5"	"44303544"	"44389706"	"FGF10"	"2255"	"O15520"	"Heart Development|Proteins and DNA Sequences in Cardicac Structures|Regulation of Actin Cytoskeleton"	""	""	"Activated point mutants of FGFR2|Constitutive Signaling by Aberrant PI3K in Cancer|FGFR1b ligand binding and activation|FGFR2b ligand binding and activation|FRS-mediated FGFR1 signaling|FRS-mediated FGFR2 signaling|Negative regulation of FGFR1 signaling|Negative regulation of FGFR2 signaling|PI-3K cascade:FGFR1|PI-3K cascade:FGFR2|PI3K Cascade|PIP3 activates AKT signaling|Phospholipase C-mediated cascade, FGFR2|Phospholipase C-mediated cascade: FGFR1|Regulation of gene expression in early pancreatic precursor cells|SHC-mediated cascade:FGFR1|SHC-mediated cascade:FGFR2|Signaling by FGFR2 mutants|Signaling by FGFR4 mutants"	"FGFR -> AP-1/CREB/CREBBP/ELK-SRF/MYC signaling|FGFR -> RUNX2 signaling|FGFR1 -> STAT signaling"	""	""	"Plays an important role in the regulation of embryonic development, cell proliferation and cell differentiation. Required for normal branching morphogenesis. May play a role in wound healing."	""	"TRUE"
"2443-10_4"	"SL004342"	"FGF-8B"	"Fibroblast growth factor 8 isoform B"	"10"	"101770130"	"101780369"	"FGF8"	"2253"	"P55075"	"Heart Development|Neural Crest Differentiation|Proteins and DNA Sequences in Cardicac Structures|Regulation of Actin Cytoskeleton"	"FGF signaling pathway"	""	"Activated point mutants of FGFR2|Constitutive Signaling by Aberrant PI3K in Cancer|FGFR1c ligand binding and activation|FGFR2c ligand binding and activation|FGFR3 mutant receptor activation|FGFR3b ligand binding and activation|FGFR3c ligand binding and activation|FGFR4 ligand binding and activation|FRS-mediated FGFR1 signaling|FRS-mediated FGFR2 signaling|FRS-mediated FGFR3 signaling|FRS2-mediated FGFR4 signaling|Negative regulation of FGFR1 signaling|Negative regulation of FGFR2 signaling|Negative regulation of FGFR3 signaling|Negative regulation of FGFR4 signaling|PI-3K cascade:FGFR1|PI-3K cascade:FGFR2|PI-3K cascade:FGFR3|PI-3K cascade:FGFR4|PI3K Cascade|PIP3 activates AKT signaling|Phospholipase C-mediated cascade, FGFR2|Phospholipase C-mediated cascade, FGFR3|Phospholipase C-mediated cascade, FGFR4|Phospholipase C-mediated cascade: FGFR1|SHC-mediated cascade:FGFR1|SHC-mediated cascade:FGFR2|SHC-mediated cascade:FGFR3|SHC-mediated cascade:FGFR4|Signaling by FGFR1 mutants|Signaling by FGFR2 mutants|Signaling by FGFR3 mutants|Signaling by FGFR4 mutants|Signaling by activated point mutants of FGFR1|Signaling by activated point mutants of FGFR3"	"FGFR -> AP-1/CREB/CREBBP/ELK-SRF/MYC signaling|FGFR -> RUNX2 signaling|FGFR3 -> STAT signaling"	""	""	"Plays an important role in the regulation of embryonic development, cell proliferation, cell differentiation and cell migration. Required for normal brain, eye, ear and limb development during embryogenesis. Required for normal development of the gonadotropin-releasing hormone (GnRH) neuronal system (PubMed:16384934, PubMed:16597617, PubMed:8663044). Plays a role in neurite outgrowth in hippocampal cells (PubMed:21576111)."	""	"TRUE"
"2447-7_4"	"SL004066"	"GIIE"	"Group IIE secretory phospholipase A2"	"1"	"19920009"	"19923617"	"PLA2G2E"	"30814"	"Q9NZK7"	""	""	""	"Acyl chain remodelling of PC|Acyl chain remodelling of PE|Acyl chain remodelling of PG|Acyl chain remodelling of PI|Acyl chain remodelling of PS|Synthesis of PA"	""	""	"unspecified application"	"PA2 catalyzes the calcium-dependent hydrolysis of the 2-acyl groups in 3-sn-phosphoglycerides. Has a preference for arachidonic-containing phospholipids."	""	"TRUE"
"2449-1_4"	"SL004182"	"GV"	"Calcium-dependent phospholipase A2"	"1"	"20028179"	"20091190"	"PLA2G5"	"5322"	"P39877"	"MAPK signaling pathway"	""	""	"Acyl chain remodelling of PC|Acyl chain remodelling of PE|Acyl chain remodelling of PG|Acyl chain remodelling of PI|Acyl chain remodelling of PS|Synthesis of PA"	""	"varespladib methyl|varespladib"	""	"PA2 catalyzes the calcium-dependent hydrolysis of the 2-acyl groups in 3-sn-phosphoglycerides. This isozyme hydrolyzes more efficiently L-alpha-1-palmitoyl-2-oleoyl phosphatidylcholine than L-alpha-1-palmitoyl-2-arachidonyl phosphatidylcholine, L-alpha-1-palmitoyl-2-arachidonyl phosphatidylethanolamine, or L-alpha-1-stearoyl-2-arachidonyl phosphatidylinositol. May be involved in the production of lung surfactant, the remodeling or regulation of cardiac muscle."	""	"TRUE"
"2455-17_4"	"SL001716"	"IL-12"	"Interleukin-12"	"3|5"	"159988750|159314783"	"159996019|159330887"	"IL12A|IL12B"	"3592|3593"	"P29459|P29460"	"NA"	"NA"	"NA"	"NA"	"NA"	""	""	"Cytokine that can act as a growth factor for activated T and NK cells, enhance the lytic activity of NK/lymphokine-activated Killer cells, and stimulate the production of IFN-gamma by resting PBMC.|Cytokine that can act as a growth factor for activated T and NK cells, enhance the lytic activity of NK/lymphokine-activated killer cells, and stimulate the production of IFN-gamma by resting PBMC."	""	"TRUE"
"2468-62_3"	"SL000133"	"MIP-3a"	"C-C motif chemokine 20"	"2"	"227813842"	"227817564"	"CCL20"	"6364"	"P78556"	"EBV LMP1 signaling"	""	""	"Chemokine receptors bind chemokines|G alpha (i) signalling events"	""	""	""	"Chemotactic factor that attracts lymphocytes and, slightly, neutrophils, but not monocytes. Inhibits proliferation of myeloid progenitors in colony formation assays. May be involved in formation and function of the mucosal lymphoid tissues by attracting lymphocytes and dendritic cells towards epithelial cells. C-terminal processed forms have been shown to be equally chemotactically active for leukocytes. Possesses antibacterial activity E.coli ATCC 25922 and S.aureus ATCC 29213."	""	"TRUE"
"2474-54_5"	"SL000573"	"SAP"	"Serum amyloid P-component"	"1"	"159587825"	"159588865"	"APCS"	"325"	"P02743"	""	""	""	"Amyloids"	""	""	"unspecified application"	"Can interact with DNA and histones and may scavenge nuclear material released from damaged circulating cells. May also function as a calcium-dependent lectin."	"444"	"TRUE"
"2475-1_3"	"SL004010"	"SCF sR"	"Mast/stem cell growth factor receptor Kit"	"4"	"54657918"	"54740715"	"KIT"	"3815"	"P10721"	"Epithelium TarBase|Kit receptor signaling pathway|Lymphocyte TarBase|Muscle cell TarBase"	"C-MYB transcription factor network|Signaling events mediated by Stem cell factor receptor (c-Kit)"	""	"Constitutive Signaling by Aberrant PI3K in Cancer|PIP3 activates AKT signaling|Regulation of KIT signaling|Signaling by SCF-KIT"	"KIT -> MITF signaling|KIT -> STAT signaling"	"dasatinib|sunitinib|pazopanib|tivozanib|motesanib|OSI-930|telatinib|tandutinib|cabozantinib|regorafenib|ponatinib|bortezomib/sorafenib|lapatinib/pazopanib|dexamethasone/lenalidomide/sorafenib|bevacizumab/sorafenib|imatinib/sirolimus|cabozantinib/erlotinib|imatinib/nilotinib/pegintron|imatinib|sorafenib"	"diagnosis|efficacy|prognosis|safety|unspecified application"	"Tyrosine-protein kinase that acts as cell-surface receptor for the cytokine KITLG/SCF and plays an essential role in the regulation of cell survival and proliferation, hematopoiesis, stem cell maintenance, gametogenesis, mast cell development, migration and function, and in melanogenesis. In response to KITLG/SCF binding, KIT can activate several signaling pathways. Phosphorylates PIK3R1, PLCG1, SH2B2/APS and CBL. Activates the AKT1 signaling pathway by phosphorylation of PIK3R1, the regulatory subunit of phosphatidylinositol 3-kinase. Activated KIT also transmits signals via GRB2 and activation of RAS, RAF1 and the MAP kinases MAPK1/ERK2 and/or MAPK3/ERK1. Promotes activation of STAT family members STAT1, STAT3, STAT5A and STAT5B. Activation of PLCG1 leads to the production of the cellular signaling molecules diacylglycerol and inositol 1,4,5-trisphosphate. KIT signaling is modulated by protein phosphatases, and by rapid internalization and degradation of the receptor. Activated KIT promotes phosphorylation of the protein phosphatases PTPN6/SHP-1 and PTPRU, and of the transcription factors STAT1, STAT3, STAT5A and STAT5B. Promotes phosphorylation of PIK3R1, CBL, CRK (isoform Crk-II), LYN, MAPK1/ERK2 and/or MAPK3/ERK1, PLCG1, SRC and SHC1."	""	"TRUE"
"2480-58_3"	"SL003043"	"TIMP-3"	"Metalloproteinase inhibitor 3"	"22"	"32801701"	"32863043"	"TIMP3"	"7078"	"P35625"	"Angiogenesis|Endochondral Ossification|Matrix Metalloproteinases"	""	""	""	"Extracellular Matrix Turnover"	""	"diagnosis|prognosis|unspecified application"	"Complexes with metalloproteinases (such as collagenases) and irreversibly inactivates them by binding to their catalytic zinc cofactor. May form part of a tissue-specific acute response to remodeling stimuli. Known to act on MMP-1, MMP-2, MMP-3, MMP-7, MMP-9, MMP-13, MMP-14 and MMP-15."	"27|193|225|327|336|431"	"TRUE"
"2484-49_3"	"SL004365"	"TWEAK"	"Tumor necrosis factor ligand superfamily member 12"	"17"	"7548891"	"7557890"	"TNFSF12"	"8742"	"O43508"	"NA"	"NA"	"NA"	"NA"	"NA"	""	"unspecified application"	"Binds to FN14 and possibly also to TNRFSF12/APO3. Weak inducer of apoptosis in some cell types. Mediates NF-kappa-B activation. Promotes angiogenesis and the proliferation of endothelial cells. Also involved in induction of inflammatory cytokines. Promotes IL8 secretion."	""	"TRUE"
"2500-2_3"	"SL004643"	"Angiopoietin-4"	"Angiopoietin-4"	"20"	"869899"	"916317"	"ANGPT4"	"51378"	"Q9Y264"	""	"Angiopoietin receptor Tie2-mediated signaling"	""	"Tie2 Signaling"	"AngiopoietinR -> FOXO signaling|AngiopoietinR -> STAT signaling"	""	""	"Binds to TEK/TIE2, modulating ANGPT1 signaling. Can induce tyrosine phosphorylation of TEK/TIE2. Promotes endothelial cell survival, migration and angiogenesis."	""	"TRUE"
